"","Cluster_1","Cluster_10","Cluster_11","Cluster_12","Cluster_13","Cluster_14","Cluster_15","Cluster_16","Cluster_17","Cluster_18","Cluster_19","Cluster_2","Cluster_20","Cluster_21","Cluster_22","Cluster_23","Cluster_24","Cluster_25","Cluster_26","Cluster_27","Cluster_28","Cluster_29","Cluster_3","Cluster_30","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9"
"LP.01.17",0.0795874044632935,0.180533727775149,0.236143208214613,0.0175304535825019,0.101862849043353,0.0890378365882897,0.0571685801386749,0.0568206431272707,0.0176967318760033,0.0586845350174039,0.212451286583058,0.130593172560212,0.0625933561501257,0,0.0940274322912106,0.029497318903342,0.0372351301012187,0.26813619241987,0.000720604091854705,0.507433541269152,0.807704220129523,0.492270038099853,0.0416432884966333,0.15232633990759,0.584541136826659,0.0405699169545193,0.0637648647302256,0.0375818417929354,0.0259529497995078,0.201602241678567
"LP.01.29",0.0760450146864455,0.370035475645633,0.185146324825878,0.00319367411642008,0.0754338261288856,0.0564550608261703,0.0629558376107201,0.115208061089287,0.0543286860827934,0.0704214544100729,0.18777953105444,0.0219305294645674,0.0607919132313237,0.0217726571226006,0.0955294194399801,0.0337142092156499,0.066713284080377,0.098587378332042,0.0106701229087161,0.494724089855408,0.899562710687082,0.368730820899299,0.0694255676639038,0.508535077132061,0.336014822308865,0.0548058815127099,0.0398900020695071,0.0992351970634268,0.0462551848680177,0.189433466492567
"LP.01.37",0.0634256136483837,0.488348366690858,0.229086536663598,0,0.0771239171298229,0.113080387388174,0.0177399386144316,0.147567582907673,0.0457687510811832,0.0551666650150694,0.108584870448106,0.0212886643870002,0.0655299481496908,0,0.00978130617618389,0.0463636273913054,0.0749611791721564,0.030971755861318,0.0122697159532466,0.497692695420986,0.951180848862845,0.490888998602362,0.0699961262036093,0.497073895795402,0.309029826487508,0.0492279089279075,0.029664713386686,0.0970734853890787,0.0379184612745931,0.25885716277528
"LP.01.38",0.0585400430362882,0.300346240545431,0.119047843875862,0.0169481980197515,0.118942641686905,0.167932445729016,0.0084934373277665,0.0903370253326947,0.0597763381909817,0.0505799356969884,0.218062866770324,0.0661071548367527,0.0992283941383835,0.0412138820157327,0.00349503428066194,0.0325347763172383,0.0729984318541592,0.120543224337326,0.0081493490422773,0.472665447441815,0.962995530071022,0.474134946749716,0.0840639037175458,0.661975570265789,0.309434214687696,0.0612960571056095,0.0203335996399681,0.0920713406049389,0.0575041126918948,0.205344973966923
"LP.01.43",0.0907305479115907,0.281417781331855,0.302439701939007,0.0903157820605126,0.0836234209166305,0.076936829292253,0.111589901554199,0.0662691292280008,0.0232595827443754,0.0531132840365795,0.113478232527179,0.0415059291725024,0.0309070244185327,0.0354597504468644,0.0612791648113025,0,0,0.077818670504095,0.0468122709655456,0.532366733386976,0.807769450343451,0.527730803833494,0.0332880524522331,0.137943473905956,0.407770132683631,0.105326854884285,0.0940990288373599,0.0484595531170667,0.0113597873935774,0.160343383090252
"LP.01.44",0.0688360439392716,0.526699920169134,0.355419402721437,0,0.0752295773178991,0.124399095618165,0.0286456270538847,0.0859984532843686,0.0303864164666352,0.0631630434340266,0.114835628063525,0.0245203195200981,0.0568827864969096,0.0128074623196124,0.0244533766441163,0.0424856185261799,0.0562172580822887,0,0.014316457642693,0.483010429893253,0.948202829807567,0.466555373418472,0.0571273103718879,0.24595751296493,0.353695058326018,0.0252555135404701,0.0425401447912726,0.0412850027186492,0.0405242309965298,0.258390666633651
"LP.01.45",0.0798545701194113,0.450602569483516,0.193699600988967,0,0.0803652048764814,0.059445781846042,0.00647185094702985,0.0948151114894824,0.0483395089097022,0.0666464951443649,0.219333653061857,0.0414786350785876,0.0899918690453205,0.0145274556868925,0.0195845192958461,0.154186460617798,0.0727195959457147,0.112415622014811,0.0393962713617075,0.375687776751021,0.96147100183905,0.391381404740973,0.0842721706663857,0.554951514796417,0.294334704817155,0.0133024178968374,0.0293109347992499,0.0470025017466106,0.0455053160383745,0.243630945720988
"LP.01.48",0.0649857380491587,0.177623604177277,0.130672566831802,0.0159785926071479,0.0829417574965346,0.196926178495567,0,0.179885385820669,0.102622398519006,0.0451932550844951,0.219587935535225,0.0128281027175347,0.0869123548759511,0.0252854347730109,0.0352425240246248,0.0083520970061923,0.0672183460784913,0.0728015241812066,0.0185840979580825,0.478037011497581,0.953035191059986,0.472274546347226,0.0700376455197497,0.647997501205462,0.353652426606458,0.0495230528255408,0.0368781712668798,0.129151109765628,0.0401268689554075,0.28055790659295
"LP.01.52",0.0435465009827216,0.291198241258923,0.246118819583255,0.0400008584993874,0.0742042444147216,0.192454640627227,0.0229541349561654,0.0661857581327046,0.0754326040860438,0.0572800090314366,0.116232346962977,0.0304803478646358,0.0502191309046804,0.0130824884223999,0.0197309798776473,0,0.00761564101375723,0,0,0.467662761716776,0.920181486102545,0.473857111088311,0.0598884478211032,0.110886454831961,0.42170975911429,0.157331242493192,0.0468048381074875,0.0872721667386057,0.0458741513817373,0.159511842780428
"LP.01.53",0.0687551970912655,0.347796748490515,0.241580735263106,0.002800411614442,0.115147063128448,0.111523651239111,0.0314791387610924,0.113849030939966,0.041640730701886,0.056591972178828,0.236501359805904,0.0529946600116366,0.0721301198965711,0.0207322111726376,0.0426394488580763,0.229707158517916,0.074871072467237,0.00860115668654135,0,0.518680011028248,0.987587631654414,0.513460734592607,0.0590062845913064,0.499574081079416,0.32278586019179,0.0346668331138209,0.0256225809316698,0.0490717256377731,0.0357334521180415,0.248074117620427
"LP.01.56A",0.0531408801898336,0.468101496020171,0.296027449509889,0.0209402058946083,0.0852417208290486,0.180937160784302,0.0359638622821155,0.0568485121954929,0.0285295951356165,0.0541209268814081,0.0989950131528836,0.0138543925749844,0.0382287941629969,0.00428299814930519,0.0393673525358528,0.0028105094305648,0.00785710938175406,0.119671729138652,0.021425234532471,0.50447915597697,0.945652955096529,0.501767139244576,0.045410808909112,0.316688634991152,0.396754954245105,0.0846945967952757,0.0464398323242818,0.0699208299395149,0.0386275833090862,0.225877303284102
"LP.01.59",0.0438625633891399,0.244002164227246,0.208973417924067,0,0.0566855043612695,0.19421444718936,0,0.398275275273039,0.106891271492683,0.0532187899946742,0.09323659673796,0.0173102892413209,0.069858165335801,0.011676997545303,0.0526566793660193,0.079668635255069,0.0683534047904592,0.080033566728762,0,0.498247620191378,0.960941607855395,0.484950881782791,0.0542475531725074,0.583347218715847,0.147199378039983,0.0313824949408072,0.0448029349708234,0.0385550385218826,0.0357262559879929,0.261031585933236
"LP.01.60",0.0635100254813526,0.403522478540352,0.120612163873872,0.0164159263293616,0.097911265500238,0.206021599525924,0,0.21849986597792,0.0784700300034935,0.0504242132439659,0.109642751641226,0.023985422513899,0.113707852471634,0.0536717770181822,0.0302233346752608,0.111799742816966,0.0876244837365761,0.0958081663602108,6.584939028856e-05,0.483086119881891,0.977837406689594,0.479587077936715,0.0807664933993788,0.591149826087065,0.212265376503802,0.034714846645027,0.0218780112816816,0.0368546259743715,0.0420563243936037,0.224721896452109
"LP.01.62",0.067125451014386,0.223743924889634,0.310854675969809,0.057974433710175,0.114234938587878,0.124441007671944,0.0552662427746012,0.0646173792734165,0.0342490094588319,0.0608821735010024,0.160947287537716,0.101474760117426,0.0564185498978031,0.0343106263529419,0.0619617029855482,0.0192035634453312,0.044704219117053,0.305364165093894,0,0.505433777355788,0.845433335847379,0.485841657084433,0.047360041194285,0.152900873231698,0.494671545978285,0.0282958772719246,0.0676489736326163,0.0516577102548288,0.0296129048132875,0.211057702358735
"LP.01.63",0.0646739520741633,0.420392208385843,0.193410569248898,0.0156174123118932,0.0801306137688555,0.0945307961943946,0.00307199490015034,0.370873668013738,0.0918413334291405,0.0441721712177809,0.0290883132343277,0.0177631702844221,0.0802009486962241,0.0327345305962906,0,0.0595379124390984,0.0811227851283368,0.0732117135101348,0.0759361026242821,0.54312280467595,0.969658803409827,0.538984329963843,0.0374851114071092,0.4714664707502,0.0873518717459535,0.0412873158099079,0.0426363668868549,0.0393930977792601,0.0338430211921875,0.281240199772638
"LP.01.70",0.0610710102938521,0.296857650305966,0.21499953698533,0.00807762620993958,0.0914420388888416,0.296058124642793,0.0152143137550934,0.0972548240350696,0.048754463194499,0.0390530442730346,0.176954024178487,0.0318219353326226,0.0693217840187464,0.0560584186682437,0.0139637077626398,0.0802996482712765,0.085272668482037,0.161343978518859,0,0.559981160233569,0.978255103049403,0.55957613120757,0.0334268843974221,0.578621123378458,0.358464118279767,0.0526353660146781,0.0682759616288209,0.0583655631220621,0.0191657047044921,0.264455579341874
"LP.01.71",0.0813268646869814,0.333062396299894,0.267884694890399,0.00440416934050908,0.0959269413300279,0.0680829345019971,0.00745322221350975,0.0637575354777557,0.0363321908738239,0.0570599101334407,0.100184951621254,0.0354359147879097,0.0508588284444187,0.00955735374414737,0.0700331936759306,0.0175377426005891,0.0671229005062848,0.218366593821747,0,0.519425945080671,0.906147581335663,0.509834770561059,0.0451053938935824,0.321167983758081,0.426606084058057,0.0549773424480997,0.0482169611788884,0.0796012756196427,0.041795629442542,0.223091051769984
"LP.01.72",0.0666341939942184,0.383096702192274,0.104945531798396,0,0.0936360453344984,0.0363811346993543,0,0.220739778625965,0.0914591124693949,0.043807327561911,0.0842000825562756,0.0222683344456595,0.104243617829821,0.0288076092654081,0,0.215728522890789,0.10016860353568,0.00400801955087876,0.000417818431276391,0.502555486256435,0.972137808620159,0.505368851418571,0.0565614149671376,0.718618395243307,0.156715712383517,0.0301316443859619,0.0386210912475421,0.0297330821031672,0.0406683156207721,0.242759539444854
"Test.FFPE.07",0.0781952161351556,0.407122671064123,0.218371339475274,0.0452572007915143,0.0766466415837233,0.141478474361662,0.0649938752225348,0.0443450280352568,0.0394110402856152,0.0459255360554699,0.131252720691169,0.0197991140925912,0.0335226941120023,0.0564493423430825,0.10081872906783,0,0.0331486317473773,0.16560855856669,0.0593377229424251,0.550115977282876,0.898228068238977,0.529598069157656,0.0442717243855267,0.380594528209685,0.396227158064448,0.0894609607849108,0.046633386898727,0.0559168098658273,0.0393853463386915,0.186171882501323
"IP.108b",0.0753503484723045,0.359323773414453,0.248943256689131,0,0.0968293426300444,0.107249948107736,0.00667549911337145,0.191628917425682,0.079967716306045,0.0568661398677039,0.161170852830877,0.091569026032434,0.0729244565793944,0.0123335806366966,0.0954663398257987,0.0596262015851415,0.0693292691729043,0.0082255532856656,0,0.483160136057873,0.897561441673867,0.466585107802699,0.0519923296893937,0.20685143017174,0.312133164772867,0.0122976174467889,0.0358996714055047,0.0958628073163079,0.0509899705055169,0.260967849776949
"IP.115b",0.0805093958197552,0.261583323463368,0.116337577034371,0,0.0958668360349897,0.226065708251949,0.010601662617643,0.110023891334853,0.0456030116081366,0.0460962825900968,0.222953036663833,0.058543524664301,0.0969835202155627,0.0658166901518503,0.0438272720933995,0.0788473626907665,0.0661784288911099,0.180927094623345,0.00618225441428055,0.428529708725608,0.951317930247497,0.389529778001061,0.0713178439362274,0.668984248464275,0.335732110089849,0.0395656198316545,0.0373558102820015,0.0725466602531969,0.0700240716959414,0.241880744791112
"IP.124b",0.0823077358791759,0.0891419470575447,0.229900479251116,0.0375341678348951,0.0788333278377323,0.101912712792947,0.0226708106177146,0.0607015177885898,0.0277199149966198,0.0536578011774465,0.155537558013845,0.0916433176923299,0.0598554050045056,0.0080743782283507,0.0757266617767479,0,0.0443560043328542,0.245160982188212,0.00819274416219155,0.521804076439404,0.771456285372194,0.502210216899313,0.0623838609677429,0.0660032602808819,0.607413368084722,0.01988845416305,0.054082609267977,0.0311834628180294,0.023572714709025,0.203880518824157
