"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_CAF","CBSX__scRNA.melanoma__CAF","CBSX__HNSCC__CAFs"
"LP.01.04",0.789357364615729,0.383246523076731,0.631199639567379,0.221576755048834,0.789357364615729,0.383246523076731,0.780261313969423,0.634068215962461
"LP.01.12",0.395964207065478,0.392226351831617,0.384756236265008,0.226608056643297,0.395964207065478,0.392226351831617,0.359545521134515,0.402420573062818
"LP.01.14",0.477195311452018,0.420752007142962,0.447530556978552,0.247355686542455,0.477195311452018,0.420752007142962,0.519418363603448,0.4816443918671
"LP.01.15",0.586249055853496,0.381574322936109,0.495376630089736,0.256551551651711,0.586249055853496,0.381574322936109,0.620608794806797,0.512686852988268
"LP.01.17",0.655418250272481,0.542220289090686,0.605240524934598,0.272609337939786,0.655418250272481,0.542220289090686,0.678899263334439,0.618307667944635
"LP.01.18",0.527615100477597,0.407603138849276,0.365243724775333,0.208468438576862,0.527615100477597,0.407603138849276,0.536874269177087,0.391512204698554
"LP.01.20",0.782114354273717,0.504790380059913,0.703690736241152,0.261506927796095,0.782114354273717,0.504790380059913,0.767109534691448,0.700156523726188
"LP.01.22",0.744546400056399,0.238167851141492,0.476987665289483,0.148856809905263,0.744546400056399,0.238167851141492,0.754873146075136,0.465943955723
"LP.01.25",0.55364788854349,0.450765551536194,0.456707342334519,0.2725192970849,0.55364788854349,0.450765551536194,0.527632579660203,0.503833085806736
"LP.01.28",0.61580926610835,0.403454620859662,0.548664196551886,0.277289208953689,0.61580926610835,0.403454620859662,0.608346245978145,0.563437759700268
"LP.01.29",0.601999195888859,0.374331735137293,0.457582185665967,0.22059266442094,0.601999195888859,0.374331735137293,0.559857825473066,0.413939714458732
"LP.01.31",0.673980715654483,0.364531337278576,0.503244439609686,0.191008929831519,0.673980715654483,0.364531337278576,0.664100906112511,0.472970361909613
"LP.01.37",0.774884945571429,0.49062136489173,0.520243417516783,0.223951524158971,0.774884945571429,0.49062136489173,0.776581233518651,0.536352817223964
"LP.01.38",0.710511652453936,0.348903915082739,0.256544468937493,0.141967078435047,0.710511652453936,0.348903915082739,0.632667973226871,0.28945348290106
"LP.01.40",0.767704816921344,0.43348832654985,0.391630285103851,0.189692303111671,0.767704816921344,0.43348832654985,0.758801756390589,0.350683298215973
"LP.01.43",0.53662994379777,0.527505634603044,0.542889308303226,0.251150567922677,0.53662994379777,0.527505634603044,0.534077199701219,0.562897075125696
"LP.01.45",0.890394542664861,0.42481584908047,0.584126794940799,0.209201857507448,0.890394542664861,0.42481584908047,0.818979336353976,0.519836219011984
"LP.01.47",0.441277806068058,0.343448178027859,0.322303427063145,0.208236262527117,0.441277806068058,0.343448178027859,0.417137765501285,0.391648083091782
"LP.01.48",0.85015300685642,0.437046548426381,0.470511079284627,0.207982585967471,0.85015300685642,0.437046548426381,0.770872052525471,0.368549034166693
"LP.01.52",0.507221358304538,0.410734638915061,0.304723267928096,0.216286272668258,0.507221358304538,0.410734638915061,0.516772550894109,0.314505508820841
"LP.01.57",0.511185613359552,0.438638210481979,0.35480854288964,0.242473221056656,0.511185613359552,0.438638210481979,0.530139361915002,0.428428036861879
"LP.01.61",0.598928888836567,0.28361728772168,0.389561715653859,0.166150338940444,0.598928888836567,0.28361728772168,0.629681657523731,0.41316609552834
"LP.01.63",0.790984067793087,0.445694188464486,0.384904942296139,0.207213999061148,0.790984067793087,0.445694188464486,0.809660740432687,0.399889138107522
"LP.01.64",0.622115637446901,0.420259063900057,0.396745081544247,0.196601185698084,0.622115637446901,0.420259063900057,0.625234529699834,0.363898334572164
"LP.01.66",0.442488262132609,0.435532655439613,0.373092768235794,0.248083451660449,0.442488262132609,0.435532655439613,0.455348630207104,0.396530965968546
"LP.01.70",0.853131556905843,0.50053089398342,0.727903170758319,0.250201519158352,0.853131556905843,0.50053089398342,0.876302048834385,0.71144386202261
"LP.01.72",0.791007725326401,0.300314542030729,0.0956351521720801,0.113048565224155,0.791007725326401,0.300314542030729,0.723913884219609,0.142513296984921
"Test.FFPE.01",0.661121575808879,0.37977588858059,0.521537235322219,0.227360684096442,0.661121575808879,0.37977588858059,0.737717430225879,0.526892190308709
"Test.FFPE.02",0.561077745869241,0.447748057410391,0.501786397599647,0.242127877368259,0.561077745869241,0.447748057410391,0.572364430762997,0.556046932685519
"Test.FFPE.04",0.666908940670888,0.429046567221563,0.540376436265618,0.252272119952905,0.666908940670888,0.429046567221563,0.661266752140336,0.590146291214488
"Test.FFPE.05",0.567897032412015,0.498139864259924,0.461564256177805,0.251375860008344,0.567897032412015,0.498139864259924,0.569450995206017,0.484075060190344
"Test.FFPE.06",0.748629158363284,0.40229805605104,0.666256120638712,0.229469262009506,0.748629158363284,0.40229805605104,0.743366802921194,0.713795807549013
"Test.FFPE.07",0.525374799863586,0.435204045592313,0.363743618783426,0.233358584681907,0.525374799863586,0.435204045592313,0.549500704466912,0.315212979535369
"IP.108b",0.908936264559256,0.531285339573925,0.610305095841584,0.224047604717971,0.908936264559256,0.531285339573925,0.859398102776747,0.586499438747612
"IP.115b",0.820025298573302,0.349745752413616,0.233092262742169,0.139089394670172,0.820025298573302,0.349745752413616,0.815073351287875,0.265085688388361
"IP.124b",0.761357482461705,0.561313627939681,0.696191453638091,0.260110859288806,0.761357482461705,0.561313627939681,0.787110084310655,0.700736166917828
"IP.127",0.651544967167499,0.25264023107579,0,0.112532357737094,0.651544967167499,0.25264023107579,0.814670645954282,0.0763446478440233
"IP.138b",0.68090148461443,0.408543783408597,0.528517164982606,0.267072881626563,0.68090148461443,0.408543783408597,0.704511297163352,0.636162846843543
"IP.140b",0.552881523079075,0.370214941879768,0.427210129373359,0.19697236526687,0.552881523079075,0.370214941879768,0.477123812946471,0.423852814577532
"IP.148",0.661807774501425,0.455363438371378,0.392200222120461,0.225605712820759,0.661807774501425,0.455363438371378,0.667352674847143,0.432334299100092
"IP.197",0.904812682847446,0.275549416813811,0.346493077482874,0.129612251079002,0.904812682847446,0.275549416813811,0.871030169710041,0.521064433913912
"IP.214",0.694190318484571,0.229548125854155,0.323704186056185,0.118551165612193,0.694190318484571,0.229548125854155,0.609277606617422,0.384370714600503
"IP.28",1,0.271125975281177,0.317117208904753,0.098739119675321,1,0.271125975281177,0.663403261420684,0.315419396344656
"IP.31b",0.922939209657902,0.542876815134942,0.685413488476331,0.253015299021114,0.922939209657902,0.542876815134942,0.908633043625627,0.737604763304123
"IP.36",0.881531426925634,0.345271663732069,0.621966705909308,0.167976733985379,0.881531426925634,0.345271663732069,0.890312064784453,0.654839489268565
"IP.38b",0.81573032784831,0.229949495145994,0.375189816711771,0.12283971356494,0.81573032784831,0.229949495145994,0.780105228221395,0.483436180288927
"IP.52",0.726956090541646,0.357259495654855,0.518262973745477,0.20769259317306,0.726956090541646,0.357259495654855,0.700120257667854,0.565004370423678
"IP.57",0.959900276997556,0.53782095469478,0.699825304683144,0.222968743591393,0.959900276997556,0.53782095469478,0.966059570526472,0.702190667072293
"IP.58b",0.749502369805902,0.482958551602352,0.675475133863261,0.271984835009818,0.749502369805902,0.482958551602352,0.750403349882384,0.673240188591101
"IP.67b",0.746822063957589,0.196539065422805,0.251562801114401,0.105897211069193,0.746822063957589,0.196539065422805,0.456322171416908,0.468678365104803
"IP.73",0.976939963806058,0.561642553194192,0.78123205421113,0.229274783217743,0.976939963806058,0.561642553194192,0.972674871464472,0.767759944740765
"IP.82b",0.606959490090735,0.30369356167789,0.475080181892608,0.179879707607048,0.606959490090735,0.30369356167789,0.716816038842192,0.514029756262107
