"","Quantiseq_T_cell_CD8.","MCP_CD8_T_cells","DeconRNASeq_BPRNACan_CD8","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_CBSX_LM22_T.cells.CD8","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","Epidish_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CCLE_TIL10_T.cells.CD8","DeconRNASeq_CD226_CD8CD226negPostAct","DeconRNASeq_CD226_CD8CD226plusNoAct","DeconRNASeq_CD226_CD8CD226plusPostAct","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_T.cells.CD8","Epidish_LM22_T.cells.CD8","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_T.cells.CD8","Epidish_TIL10_T.cells.CD8","DeconRNASeq_TIL10_T.cells.CD8","CBSX__LM22__T_cells_CD8","CBSX__NSCLC.scRNAseq__T_cells_CD8","CBSX__scRNA.melanoma__T_cells_CD8","CBSX__TIL10__T.cells.CD8","CBSX__CCLE.TIL10__T.cells.CD8","CBSX__CD226__CD8CD226plusNoAct","CBSX__CD226__CD8CD226plusPostAct"
"Gide_PD1_10_Post",0.0256920860582045,2.00199655223226,0.0721262428748349,0,0.0120917750992902,0.00678451645278322,0.00531724102744932,0.020549180354388,0.0712773228375849,0,0.0735132093357199,0.146248586061538,0,0.0120917750992902,0.00678451645278322,0.00531724102744932,0.128510332314448,0.102842354273787,0.0114417688836651,0.242589099847544,0,0.160418725601816,0.104822233862467,0.0312247845191947,0.0960975120861194
"Gide_PD1_10_Pre",0.00170722359221682,0.385025932225863,0.0655750911447281,0,0.00103540530748574,0,0,0,0.0614672603895729,0,0.0786708820813514,0.206470731426987,0,0.00103540530748574,0,0,0,0.0705761137573949,0,0.233409254368616,0,0,0,0.0162754727055216,0.0931434949232145
"Gide_PD1_11_Pre",0.00350663681221327,1.3391394644607,0.0699754117929167,0,0,0,0.0143478323919151,0,0.047224914357478,0,0.197714376315926,0.183342041363255,0,0,0,0.0143478323919151,0,0.097660721150981,0.0831423772795303,0.0701700663669737,0.011397974537665,0.00448035414031687,0.0156622256193974,0.0503038565475575,0.0877379026257719
"Gide_PD1_12_Pre",0.00236241256945587,0.465476066001884,0.0276662710339679,0,0,0,0,0,0.069954591682701,0,0.0870929346858749,0.205866719170542,0,0,0,0,0,0.0938092541045888,0,0,0.00932855326707597,0,0,0.0604765128336132,0.0814803207649507
"Gide_PD1_13_Post",0.00082857330038034,0.348005607755675,0.0452398237013531,0,0,0,0,0,0.058509153546726,0,0.137950765579703,0.242191002683483,0,0,0,0,0,0.0687803574037274,0,0,0,0,0,0.0491762814761526,0.0906374484940309
"Gide_PD1_13_Pre",0.00332367851433402,0.520066900156867,0.0493580655687243,0,0,0,0,0,0.059422337874071,0,0.170486998835921,0.220538785434395,0,0,0,0,0,0.0762530156852108,0.00789020586317451,0,0,0,0,0.0527081221051931,0.110841663139912
"Gide_PD1_14_Pre",0,0.029051177913899,0,0,0,0,0,0,0.0559632709541729,0,0.190944245248553,0.220703822993164,0,0,0,0,0,0.0569816528117713,0,0,0,0.00150966546941324,0,0.0651984161549914,0.0761147269040207
"Gide_PD1_15_Pre",0.0105333180946494,0.284927119301892,0.0628423727059501,0,0,0.165474910563491,0,0,0.0609446056720619,0.0286661468748487,0.239693101851828,0.150657444576912,0,0,0.165474910563491,0,0,0.0890685540043659,0.169104640090972,0,0,0,0,0.0386300736174145,0.0769930468898575
"Gide_PD1_16_Pre",0,0.0288793422803,0.0267518515987143,0,0,0,0.00992685100176892,0,0.0574744634618849,0,0.120940834022927,0.100615625326033,0,0,0,0.00992685100176892,0,0.102317623314502,0,0,0.00468776190990631,0,0,0.026231297655677,0.0305834979858296
"Gide_PD1_17_Post",0.0724140633745978,4.10413680929566,0.0248278357841445,0.233207109024194,0.0571843209768137,0.0808523693523992,0,0.25779251944306,0.0873289666467028,0.0353483760542687,0.0669566846187983,0.056681135568445,0.233207109024194,0.0571843209768137,0.0808523693523992,0,0.12055432183732,0.108731242354499,0.0580571806902647,0.317300412323439,0.0123260346861274,0.302849689957384,0.337178905005145,0.0207307131020511,0.0319579963034067
