"","Quantiseq_NoSignature_Myeloid.dendritic","Epidish_CBSX.LM22_Dendritic.activated","DeconRNASeq_CBSX.LM22_Dendritic.resting","DeconRNASeq_CBSX.LM22_Dendritic.activated","Epidish_CBSX.HNSCC_Dendritic","DeconRNASeq_CBSX.HNSCC_Dendritic","Epidish_CCLE.TIL10_Dendritic","Epidish_LM22_Dendritic.activated","DeconRNASeq_LM22_Dendritic.resting","DeconRNASeq_LM22_Dendritic.activated","Epidish_TIL10_Dendritic","DeconRNASeq_TIL10_Dendritic","CBSX_LM22_Dendritic.activated","CBSX_HNSCC_Dendritic","CBSX_TIL10_Dendritic","CBSX_CCLE.TIL10_Dendritic"
"LUNG-NSCLC2-0553",0,0.081861967944595,0.0230071835062007,0.0849031357150886,0.0523353053195992,0.0648285123632071,0.0375355581018767,0.081861967944595,0.0230071835062007,0.0849031357150886,0,0.0161874771838529,0.0976610024609305,0.0580993355556083,0.255772574896655,0.08289081230278
"LUNG-NSCLC2-0560",0,0.0575562510033142,0.0155550611296106,0.0947834411449403,0.0490232590960144,0.0626563734605807,0.119715926036428,0.0575562510033142,0.0155550611296106,0.0947834411449403,0,0,0.103972564848831,0.0749417791563986,0,0.118776553920465
"LUNG-NSCLC2-0565",0.0266132828059726,0.0141960811865237,0.0190557387147464,0.0879927154371207,0,0.0483069024750513,0.0926585042813901,0.0141960811865237,0.0190557387147464,0.0879927154371207,0.207135247180228,0.0268685671330853,0.0288070945487628,0,0.273095775318748,0.0522386176150528
"LUNG-NSCLC2-0566",0.0294134340265356,0.0127796766328838,0.0465688232776815,0.007408593395568,0.194700027341503,0.117911102246034,0.0769221819475288,0.0127796766328838,0.0465688232776815,0.007408593395568,0.259219747418565,0.0344532894575757,0.0159895869608236,0.227992354444474,0.324684341004145,0.0229291995238651
"LUNG-NSCLC2-0568",0,0.06648669504817,0.017361969337072,0.156762775764912,0.067958530842524,0.0529362148569605,0.0480855862195352,0.06648669504817,0.017361969337072,0.156762775764912,0.0580495850404863,0.0165252038734435,0.0350427845469861,0.0536937234761481,0.211280570630779,0.0362788932445556
"LUNG-NSCLC2-0569",0.0254452442552827,0,0.102700226424188,0,0.0635457206179038,0.0502411308334548,0.0230333036507913,0,0.102700226424188,0,0.201417552365373,0.0225798567944489,0,0.11859477533229,0.244796424821781,0
"LUNG-NSCLC2-0571",0.0349673820114862,0.0561545125793134,0.0440355851927858,0.113150548403053,0.108157304510639,0.0533700127318093,0.0449289730261227,0.0561545125793134,0.0440355851927858,0.113150548403053,0.119974512558392,0.0607840447672222,0.0330321563542953,0.102882118550962,0.295715084451922,0
"LUNG-NSCLC2-0580",0,0.0249048582596953,0.0145276298646888,0.0900774287371837,0.0167177199043049,0.0358333585345115,0.0311189149893936,0.0249048582596953,0.0145276298646888,0.0900774287371837,0,0,0.0454009905748641,0.0327060299683952,0.109235259254431,0.004201500142273
"LUNG-NSCLC2-0584",0,0.0632937941381174,0.0389374396613807,0.0771095801064365,0.0639971375717724,0.0541924616231115,0,0.0632937941381174,0.0389374396613807,0.0771095801064365,0,0,0.0637975499286505,0.0638540745376838,0.267628937437983,0.00020863012466324
"LUNG-NSCLC2-0585",0,0.0448755977807967,0.0460926665852377,0.0715561580434436,0.171032376315038,0.0722656083784337,0.0952208630552414,0.0448755977807967,0.0460926665852377,0.0715561580434436,0.362755257961077,0,0.0651796496919306,0.155054626562261,0.249266167458131,0.132881754603758
