"","Quantiseq_B_cell","Epidish_BPRNACan_B","DeconRNASeq_BPRNACan_B","Epidish_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan3DProMet_B","Epidish_BPRNACanProMet_B","DeconRNASeq_BPRNACanProMet_B","Epidish_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_CBSX_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_B.cells","Epidish_CCLE_TIL10_B.cells","DeconRNASeq_CCLE_TIL10_B.cells","Epidish_CD226_B","DeconRNASeq_CD226_B","Epidish_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","DeconRNASeq_Fig2ab.NSCLC_PBMCs_scRNAseq_sigmatrix_B.cells","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_B.cells","DeconRNASeq_TIL10_B.cells","CBSX__NSCLC.scRNAseq__B_cells","CBSX__scRNA.melanoma__B_cells","CBSX__TIL10__B.cells","CBSX__CD226__B"
"LP.01.01",0.0415440405534852,0.0216474353181828,0.10121317775158,0.0193715585871784,0.0925168185313351,0.0385617174367865,0.0837966400781248,0.935373960014866,0.741811659636804,0.0253284996567818,0.165760609797418,0.0969148585776259,-0.00885290546171586,0.0880918937876411,0.137636451428672,0.416431915551236,0.935373960014866,0.741811659636804,0.0253284996567818,0.165760609797418,0.116490543860669,0.940173488946591,0.018004817338267,-0.0124925573648244,0.187982485674275
"LP.01.02",0.0442677515784561,0.0137721316494174,0.0936537042009612,0.0123968002014399,0.0832614976871953,0.0182720372773438,0.0716159450382064,0.940151655823693,0.546153206410992,0.0190596698090743,0.0914210116851112,0.0948088131956876,0.00395554326379164,0.0843956419099087,0.244166142211206,0.390038811798537,0.940151655823693,0.546153206410992,0.0190596698090743,0.0914210116851112,0.10559125596959,0.891238004251463,0.0101255516430295,0.00412694948292674,0.208244109266834
"LP.01.03",0.0414470568413363,0.036755275612664,0.109773123691502,0.0328094912733931,0.100682431931277,0.0373752363051642,0.0963670623847693,0.987255434864083,0.627789761023388,0.0228905711807367,0.119840289226058,0.0886146372834793,0.00395554326379164,0.0860480371456327,0.195801036340176,0.403409982090476,0.987255434864083,0.627789761023388,0.0228905711807367,0.119840289226058,0.105794899065781,0.883149036507984,0.0140939856956073,0.00412694948292674,0.189754445297381
"LP.01.04",0.02698615059682,0.0169877207796211,0.0971322585608643,0.0144388129333537,0.0864272647427206,0.0225601721558356,0.0854054081668002,0.92981545368261,0.3133786547437,0.0104769281250666,0.0669250724378253,0.126745052796505,-0.00885290546171586,0.0533997920111473,0.234618562204751,0.191492212072386,0.92981545368261,0.3133786547437,0.0104769281250666,0.0669250724378253,0.101584030844652,0.840477717733004,0.00168251740845235,-0.0124925573648244,0.188194732849626
"LP.01.08",0.0674557051442424,0.027040626549713,0.102134672066262,0.0237552504018532,0.0899803485196607,0.0326032422633643,0.0889431955881196,0.960716261453892,0.548160153178963,0.0571992178297025,0.106291490100574,0.122364203394963,0.0156158758296393,0.10217499269401,0.220653304266291,0.300525413505626,0.960716261453892,0.548160153178963,0.0571992178297025,0.106291490100574,0.136017417574647,0.88384655761235,0.0488915445163874,-0.0124925573648244,0.185512061805165
"LP.01.10",0.0406720755046737,0.0133377100609772,0.0777432556334934,0.0106082669279125,0.0668609312619863,0.0147601633286628,0.0556230066160451,0.943704955487499,0.569792374772088,0.00690086459147319,0.0867882894945771,0.10988306083851,-0.00885290546171586,0.0581261650267534,0.0625947253126698,0.243250882127715,0.943704955487499,0.569792374772088,0.00690086459147319,0.0867882894945771,0.0856928983239859,0.833227207085461,-0.000813548955614798,-0.0124925573648244,0.177169126265051
"LP.01.12",0.0391221311300904,0.0102575407373272,0.0961203593462847,0.00703327361272055,0.0864276893083412,0.0103055598547174,0.0742483819493508,0.947318710940167,0.644931930012951,0.0198546707766825,0.090025064371676,0.102345082463256,0.00395554326379164,0.0708412955630857,0.0835035551028381,0.274411823513411,0.947318710940167,0.644931930012951,0.0198546707766825,0.090025064371676,0.0762223458765498,0.876291507312419,0.0128841671134137,0.00412694948292674,0.155444948146533
"LP.01.14",0.11076181022858,0.0617537435323564,0.0941929134669156,0.0645336673157488,0.0842587855919788,0.0718203124878125,0.0729693864957913,0.920220511322615,0.558631023506129,0.0764654491084166,0.0796083470088751,0.117650312328019,0.0627797153786375,0.0751788802392335,0.171528574328973,0.202688018594699,0.920220511322615,0.558631023506129,0.0764654491084166,0.0796083470088751,0.109535234813174,0.78472236588324,0.0995959061419331,0.0875596104698146,0.18309451651736
"LP.01.15",0.0446443727896884,0.0173049334078721,0.0813010210831853,0.0121511919697113,0.0675770149160703,0.0156810641614795,0.074341658294664,0.696841274997404,0.396370589836735,0.00915575035163872,0.0674376818888303,0.0965377124506409,-0.00885290546171586,0.0767429286407711,0.386763951429102,0.283004497165317,0.696841274997404,0.396370589836735,0.00915575035163872,0.0674376818888303,0.115713712647363,0.723043266468002,0.00944108464560661,-0.0124925573648244,0.184934437270661
"LP.01.16",0.0814719811180705,0.036943506971126,0.0832758821094941,0.0316187092246423,0.0722979828534216,0.0381128342888118,0.0678989132310282,0.902876515426992,0.592284503895542,0.0307759331376919,0.0860792205193553,0.105959470734603,0.00395554326379164,0.0701400382649205,0.219645677847064,0.385929991827059,0.902876515426992,0.592284503895542,0.0307759331376919,0.0860792205193553,0.11129260511496,0.806283744366452,0.0252856544753214,0.00412694948292674,0.161898940125851
