"","DeconRNASeq_BPRNACan3DProMet_M0","DeconRNASeq_BPRNACanProMet_M0","Epidish_CBSX_LM22_Macrophages.M0","DeconRNASeq_CBSX_LM22_Macrophages.M0","Epidish_LM22_Macrophages.M0","DeconRNASeq_LM22_Macrophages.M0","CBSX__LM22__Macrophages_M0"
"LP.01.01",0.00219526516622627,0.00208649661012461,0.0660562295948318,0.0397767369353304,0.0660562295948318,0.0397767369353304,0.0360478811662142
"LP.01.02",-0.000587190895954098,-0.00131277039069909,0.117629031332532,0.0704580528877534,0.117629031332532,0.0704580528877534,0.110107879960192
"LP.01.03",0.00488546737652573,0.00143963648721074,0.0185288598164973,0.00348108759125016,0.0185288598164973,0.00348108759125016,0.0259015377108
"LP.01.04",0.00219526516622627,0.00208649661012461,0.0621351070796932,0.047511993076683,0.0621351070796932,0.047511993076683,0.0938882492262978
"LP.01.08",0.022359296072987,0.0182213121644152,0.094905197681376,0.046852997377925,0.094905197681376,0.046852997377925,0.0873611201564058
"LP.01.10",0.00952816501245402,0.00979968808508628,0.0616268474793885,0.0370343680836785,0.0616268474793885,0.0370343680836785,0.0744574783288685
"LP.01.12",0.00286398721641231,0.00495004860013117,0.143934296502874,0.0431217078702631,0.143934296502874,0.0431217078702631,0.160190135862962
"LP.01.14",0.00919888612407951,0.00985446135804811,0.0510968600815348,0.0386300926176321,0.0510968600815348,0.0386300926176321,0.0565803195909051
"LP.01.15",0.00542572784118285,0.0105809766818359,0.0847164384055366,0.0431782716549019,0.0847164384055366,0.0431782716549019,0.125952891276371
"LP.01.16",0.0155645051090179,0.0174322767031027,0.0886026545542346,0.0330245855847954,0.0886026545542346,0.0330245855847954,0.086332287314021
"LP.01.17",0.0275092539977198,0.0327055153953419,0.015253850939493,0.024495824324259,0.015253850939493,0.024495824324259,0.0195252449473835
"LP.01.18",-0.00618080402938977,-0.00709918548758613,0.0567261575636736,0.00705857199502006,0.0567261575636736,0.00705857199502006,0.0730418446674313
"LP.01.19",-0.00618080402938977,-0.00709918548758613,0.00554738442384998,0.0249803348551302,0.00554738442384998,0.0249803348551302,0.0134413962924521
"LP.01.20",0.0333398226864312,0.0371094897996632,0.0563446494581421,0.0441620227590478,0.0563446494581421,0.0441620227590478,0.0462249492046158
"LP.01.22",-0.00618080402938977,-0.00709918548758613,0.00554738442384998,0.0492030160047217,0.00554738442384998,0.0492030160047217,0.00766393644186816
"LP.01.23",-0.000697760945326548,0.000456988070204977,0.0853922675392903,0.0636551605029645,0.0853922675392903,0.0636551605029645,0.0993400176113013
"LP.01.24",0.0122920996584077,0.00849800963851617,0.178057197777066,0.0621247043755738,0.178057197777066,0.0621247043755738,0.196192229288695
"LP.01.25",0.0359071499798122,0.0357170643396662,0.085656009713473,0.0374997201046754,0.085656009713473,0.0374997201046754,0.0833077684306151
"LP.01.28",0.0221066504932482,0.0231172935174965,0.0716061895810156,0.0363030405715952,0.0716061895810156,0.0363030405715952,0.0941326599941953
