"","Quantiseq_Macrophage_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_CD226_M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"LP.01.01",0.0643197461382394,0.187144763162963,0.0825570069298224,0.00357462201812392,0.0580300036156233,0.172992428752225,0.104637721586392,0.157056155543328,0.239059528654978,0.146751714423799
"LP.01.02",0.0984137398421656,0.232631504420673,0.0652883065416283,-0.00132234223292925,0.0532270576146719,0.0164661089110833,0.0793013191958805,0.0162132006602656,0.175562101574105,0.133547669222045
"LP.01.03",0.107927240424267,0.292586923779565,0.0879004888037286,0.016294878268339,0.0943599102749973,0.0822190117876188,0.101741388428099,0.144265823102192,0.00795808631575325,0.238085408485669
"LP.01.04",0.0558413451467566,-0.00312956539257356,0.0709041577993973,0.00357462201812392,-0.00494438224121349,-0.0482864113608517,0.10907362168658,0.205819060769354,0.0202813700367931,0.130917303894177
"LP.01.08",0.0756667233853525,0.0170009989311609,0.0719256845863048,0.00357462201812392,0.0697309095165245,-0.0334657219114385,0.0993359793706423,-0.0488428534627067,0.105293541209829,0.209227274687373
"LP.01.10",0.0763738934929653,0.0954872142379496,0.126195584583874,0.00357462201812392,0.0342064725259016,0.110163998214056,0.152127620090018,0.0695855325600043,0.112087529632284,0.172418053905849
"LP.01.12",0.100657579254469,0.116526009114971,0.0930970814564386,0.0527456449296335,0.105857638245553,0.0164661089110833,0.100974524696417,0.0162132006602656,0.0951357128452928,0.280133332995694
"LP.01.14",0.0709179608538,0.0357906375760091,0.0255027210539609,0.00357462201812392,0.015810635249068,0.0521041376731443,0.0550983700950731,0.0246304092061789,-0.0238685770557254,0.188797030331498
"LP.01.15",0.0706664624308034,0.127024045356893,0.0606565863709321,0.00357462201812392,-0.00494438224121349,0.237844732592475,0.0874354342695103,0.0748973722239023,0.027922517697753,0.134476256910808
"LP.01.16",0.102290153608362,-0.0173993186729441,0.0975312909069033,-0.00369210068983919,0.00644321714207714,0.0601302573189222,0.139740374271205,0.0576137122401202,0.0343382445545541,0.22253637646601
