"","Quantiseq_NoSignature_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CBSX.LM22_M1","DeconRNASeq_CBSX.LM22_M1","Epidish_CCLE.TIL10_M1","DeconRNASeq_CCLE.TIL10_M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_LM22_M1","DeconRNASeq_LM22_M1","Epidish_TIL10_M1","DeconRNASeq_TIL10_M1","CBSX_LM22_M1","CBSX_TIL10_M1","CBSX_CCLE.TIL10_M1","CBSX_CD226_M1"
"LUNG-NSCLC2-0553",0.0315813589294608,0.0667552584610024,0.0920533682389541,0.115694786238142,0,0.0500645328936894,0.283688349188476,0.195928162916065,0.148284009886991,0.197996834874781,0,0.0500645328936894,0.307435257364602,0.20007132932798,0,0.189998066416246,0.251876062063709,0.235510124969859
"LUNG-NSCLC2-0560",0.270799964478721,0.075438312983817,0.0979277893940594,0.0934983859997431,0,0.0470335957355473,0.397041544462101,0.491322937842522,0.226961825370711,0.274988030723938,0,0.0470335957355473,0.689657841584452,0.47253867545243,0,0.396489653568146,0.327738591258293,0.296619864887447
"LUNG-NSCLC2-0565",0.0222608293442688,0.0663851563126095,0.0867894830064874,0.143905957481813,0.0146194101110042,0.0600820160104592,0.242951694468529,0.187947797065681,0.181843341390225,0.137101656829925,0.0146194101110042,0.0600820160104592,0.352338490296863,0.211688514323982,0,0.206419854683802,0.180918917838028,0.212598261852486
"LUNG-NSCLC2-0566",0.0242193741249627,0.0671349863379043,0.0914780308765668,0.0894222051393576,0.0596329292017608,0.249191378087166,0.337257722682853,0.162894085006133,0.230968785802185,0.196059918480495,0.0596329292017608,0.249191378087166,0.468214558785083,0.159491918119757,0.0872664885205465,0.366556217322328,0.293272828645345,0.292319744270611
"LUNG-NSCLC2-0568",0.103712697312285,0.0588166433338808,0.0786246745421944,0.0734649115518224,0.0563154703297242,0.115038712924253,0.389950621120056,0.247837770633891,0.194144168814457,0.222941380168376,0.0563154703297242,0.115038712924253,0.750019918637064,0.241656929337493,0.0861798299474595,0.514184108902111,0.378369623023935,0.273566674766541
"LUNG-NSCLC2-0569",0.0684429329384341,0.0762069319243004,0.0912663952522477,0.0911947859244259,0.0516685218225516,0.182189597203535,0.231610599649657,0.193492385101211,0.241677612076039,0.317294773683369,0.0516685218225516,0.182189597203535,0.6253972342313,0.337371821478011,0.0408795373886959,0.577643939600386,0.190213716140623,0.291333321081184
"LUNG-NSCLC2-0571",0.0317374688057081,0.0704373434685909,0.108700532764256,0.101309384590314,0,0.0360042062419161,0.562773227669979,0.189457213950357,0.20305109114792,0.137299981442973,0,0.0360042062419161,0.788215456154587,0.179489556652497,0,0.371266738905183,0.51330134746952,0.126489797117746
"LUNG-NSCLC2-0580",0.126187139697375,0.0776112815994446,0.100610295801992,0.0945572177641072,0.0285411968219279,0.070072857447888,0.331141936693684,0.454382959379883,0.2358506171608,0.250239593017669,0.0285411968219279,0.070072857447888,0.576837550009173,0.447980841450482,0,0.408700552517184,0.302977297480548,0.271137133818102
"LUNG-NSCLC2-0584",0.137187631338759,0.0819632196418419,0.121255364288543,0.113987228317128,0.0044617394547709,0.0478733089290345,0.375110461976947,0.272483079470271,0.156136501438159,0.181351961955154,0.0044617394547709,0.0478733089290345,0.894913769412388,0.258584480846248,0.0260193080237017,0.336686500114619,0.359849045090313,0.268673587960505
"LUNG-NSCLC2-0585",0.0098462604125308,0.0618180866958107,0.086353703607127,0.0814239090611915,0.0109977058009727,0.0752820514482892,0.179291185588278,0.0979693286861333,0.246381889776996,0.30280153165324,0.0109977058009727,0.0752820514482892,0.479175238128416,0.108225318566406,0.0075052988597956,0.193988225497168,0.156135226313297,0.28105974243929
