"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"LP.01.01",0.0748189951289056,0.107521043395146,0.111955366801142,0.210684718639115,0.105944004133971,0.0629743858568368,0.221278840113077,0.124800627731963,0.205899009006035,0.286841385709134,0.118462113449622
"LP.01.02",0.0996959158728639,0.11122488085071,0.117214773135751,0.251792173507955,0.0588375292367926,0.0608433002484136,0,0.0698984582731307,0,0.167604015258352,0.1625388071523
"LP.01.03",0.109209416454965,0.116971143678029,0.121317900701982,0.311747592866847,0.0814497114988929,0.101976152908739,0.0657529028765355,0.0923385275053494,0.128052622441926,0,0.267076546415924
"LP.01.04",0.0663405941374228,0.102167487092084,0.114726387632092,0.0204103900835788,0.0942911550035459,0,0,0.129236527832151,0.254661914232061,0.0680632270909492,0.10262770292
"LP.01.08",0.0861659723760187,0.0984286590483056,0.110196477717688,0.0405409544073133,0.0953126817904534,0.074675291757738,0.0148206894494132,0.119498885516213,0,0.153075398263985,0.180937673713196
"LP.01.10",0.0868731424836315,0.084950997689852,0.0885272773264989,0.119027169714102,0.149582581788023,0.0391508547671151,0.158450409574908,0.172290526235589,0.118428386022711,0.15986938668644,0.144128452931672
"LP.01.12",0.101939755285167,0.119411581387959,0.127115264878095,0.135686678202253,0.0866463041516029,0.113473880879295,0,0.0915716637736671,0,0.0871776265295396,0.309124470925949
"LP.01.14",0.0814172098444662,0.0851402288691863,0.091902501844566,0.0593305930521615,0.0488897182581095,0.0207550174902815,0.100390549033996,0.0752612762406438,0.0734732626688856,0.0239132799984307,0.160507429357321
"LP.01.15",0.0811657114214696,0.0901399688301477,0.115741994127004,0.150564000833045,0.0840435835750807,0,0.286131143953327,0.107598340415081,0.123740225686609,0.0757043747519091,0.106186655936631
"LP.01.16",0.10357232963906,0.0898933583653783,0.100367839413079,0.0017613504143378,0.0910805136020676,0.0140594597758188,0.0436641484078389,0.130337513348455,0.0414005115798546,0.0263801582388008,0.251527514396265
"LP.01.18",0.067068748128684,0.0957940901887053,0.0993403386753521,0.110696022173402,0.0355626335266943,0.00716968881557661,0.124993545090333,0.0651424299217733,0.11721418843744,0.0648085683497585,0.14706783040469
"LP.01.19",0.0721476809698195,0.108288277811669,0.109913012017371,0.0427330695700705,0.0727884887445169,0.0606315205406551,0,0.0950233169507277,0.0946112278011831,0,0.238615997887442
"LP.01.20",0.0381204151136289,0.0863945097484229,0.0926259127151091,0,0.0478257367507736,0.045072842706971,0,0.0634690641900461,0,0.00340829491400177,0.210695752399485
"LP.01.22",0.0932441350021567,0.113697408998031,0.11195192635525,0.309701642765725,0.101589283050379,0.0812012404984583,0.485377262192793,0.128417731140825,0.414350707176276,0.159321420722963,0.168010685062636
"LP.01.23",0.072823058172944,0.0992558420859788,0.104292836795932,0.0360280805341027,0.103358380024799,0.0262606294126229,0.00582063912532608,0.127181002949088,0.143077099007971,0.00286577801838388,0.176911875999713
"LP.01.24",0.0764276942868224,0.0918652430022103,0.0963764494663166,0.175653219884773,0.0612217063299686,0.0974822963827717,0.0256620771537358,0.0696545479297851,0,0.281437692258547,0.277851705886497
"LP.01.25",0.0928555267883845,0.098036093356869,0.104363842835242,0.135678810664154,0.0501755012722706,0.0363242834901116,0.0543009527482769,0.0654817166601016,0,0.00087898540118153,0.220140998403835
"LP.01.28",0.103115121026923,0.112065650118652,0.11888714637053,0.462333875025323,0.131255637652125,0.102607682615855,0.366788714103751,0.143420640044009,0.288350370840255,0.470231512847331,0.268681053804241
"LP.01.31",0.0993260879785858,0.109172255176365,0.113423854930326,0.287937914088097,0.0771440583226796,0.0478496726497729,0.102528723529298,0.0970944275926234,0.0868110963405247,0.274140499863056,0.167578410139768
"LP.01.32",0.103230519600766,0.0894172147019235,0.0958349608352699,0.0524147947741355,0.118768869182324,0,0.0186845836151962,0.154989527511335,0.113464443302945,0.0806322003617603,0.148851104397014
"LP.01.34",0.0876870934823079,0.0984984037229307,0.105934366900465,0,0.089951424420342,0.00399600597735846,0,0.135048870076357,0,0,0.216316583513503
"LP.01.35",0.0949960860353513,0.0881580327028498,0.0957137733608785,0,0.0820609522757603,0.00581592381270199,0,0.0943951919166035,0,0,0.291124798723616
"LP.01.40",0.0158984747637315,0.116276681236496,0.124875717349743,0.00357248531988029,0.0203553634326325,0,0.126828416560308,0.0530970516911445,0,0,0.155179774864169
"LP.01.42",0.0340995861438463,0.0837558306807717,0.0915293225171607,0,0.0384862824694784,0.00164533896944822,0,0.0702997888622019,0,0,0.163699166433478
"LP.01.46",0.157874782822529,0.0961885383258483,0.0996181735906094,0.211785622697311,0.182252300457972,0,0.136613703516452,0.205254677356466,0.186767426486044,0.300141462701717,0.0914691491572254
"LP.01.47",0.116454228242003,0.0951565243023572,0.10617722857792,0.0570885024881298,0.154043751485247,0.0161821618656659,0,0.174734642684717,0.0302344760163456,0.133857328884721,0.155712996840919
"LP.01.57",0.0680888695908376,0.0823815038091571,0.0922582333620061,0.0361861000534651,0.0642567579184742,0.0448585508218743,0,0.0768571305359,0,0.0320606837259284,0.25613199324891
"LP.01.58",0.0765911627038637,0.117947837714069,0.127365655511057,0,0.0819696984085478,0.00369721520174472,0,0.122177111839852,0,0,0.148529772730502
"LP.01.61",0.0506724966572904,0.113445816415575,0.11612496904092,0,0.054521093777451,0.123211194005456,0,0.107082324989859,0.136797359163478,0,0.301780801748046
"LP.01.64",0.0407593350444033,0.098554155996606,0.103698225958222,0,0.00688287092681058,0.0468392309170499,0,0.0450886360584158,0,0.0459021769089662,0.181966761986141
"LP.01.66",0.0593361206207161,0.0878164094910793,0.094047720082722,0.019320516713408,0.0504524413148924,0.0320952579549347,0.0147296407135638,0.0736498212333253,0.169570823005868,0.0771832824582874,0.221383898360384
"LP.01.67",0.0888280786162884,0.110371576629708,0.11556080444138,0.0685983369071576,0.0626116349295371,0.0717224671586226,0,0.0761538301501668,0,0.0354739160591466,0.110152621241167
"LP.01.68",0.106455837814426,0.115706810835483,0.121433034685806,0.25458700881879,0.0537817724945708,0.0861856800020646,0.147336974388969,0.065942793227651,0.0813459146494611,0.12022674240886,0.257564855667223
"Test.FFPE.01",0.0773863527723223,0.083042903635779,0.0923482163413628,0,0.0651895484708205,0,0,0.113209013886584,0.0447144490131475,0.0469167533655963,0.120860976412635
