"","Epidish_BPRNACan_Mono","DeconRNASeq_BPRNACan_Mono","Epidish_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono","Epidish_BPRNACanProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono","Epidish_CBSX.NSCLC.scRNAseq_Mono","DeconRNASeq_CBSX.NSCLC.scRNAseq_Mono","Epidish_CBSX.LM22_Mono","DeconRNASeq_CBSX.LM22_Mono","Epidish_CD226_Mono","DeconRNASeq_CD226_Mono","Epidish_NSCLC.scRNAseq_Mono","DeconRNASeq_NSCLC.scRNAseq_Mono","Epidish_LM22_Mono","DeconRNASeq_LM22_Mono","CBSX_LM22_Mono","CBSX_NSCLC.scRNAseq_Mono","CBSX_CD226_Mono"
"LUNG-NSCLC2-0553",0.0063555219034964,0.0902308751591545,0.0060720824604939,0.0859963895178524,0.0056486016575539,0.0818163287331079,0.0173081165181354,0.230696109831126,0.109525918522567,0.108347615775982,0.506565339001162,0.0664576434432241,0.0173081165181354,0.230696109831126,0.109525918522567,0.108347615775982,0.115822590517463,0.0082620292209404,0.146727390909666
"LUNG-NSCLC2-0560",0.0154432777034365,0.100862949974792,0.0173363232964286,0.100436981705563,0.0122141341773535,0.0856596912309787,0.0092927751888287,0.229651029446926,0.127934841347882,0.126709362342287,0.45247842616992,0.0914860819833894,0.0092927751888287,0.229651029446926,0.127934841347882,0.126709362342287,0.13460325117175,0.0196509475515899,0.132180419775661
"LUNG-NSCLC2-0565",0.0164804108616983,0.0955668377534962,0.0163394968823439,0.0894876262380496,0.0076304113040424,0.0875450757581729,0.0063441661949849,0.192471449460464,0.0541913645810768,0.0775449270243058,0.39547244873825,0.0539546979297996,0.0063441661949849,0.192471449460464,0.0541913645810768,0.0775449270243058,0.0754400815889163,0,0.0820413000014339
"LUNG-NSCLC2-0566",0.0517100694157281,0.130365142714725,0.0583565528725623,0.124719465202796,0.0425821059682278,0.108614569889601,0.136736222898457,0.227879423160074,0.0313083762361971,0.0592458577473908,0.338632957071703,0.0526410288156278,0.136736222898457,0.227879423160074,0.0313083762361971,0.0592458577473908,0.0276799635632339,0.0758124837294023,0.0890326286107221
"LUNG-NSCLC2-0568",0.032755980863514,0.107196183768937,0.0387262269145395,0.107995850903134,0.0371974718577439,0.095720409553074,0.0596308318251426,0.141291760646398,0.0471451041065236,0.0832115830184539,0.454656086188426,0.0679985643400821,0.0596308318251426,0.141291760646398,0.0471451041065236,0.0832115830184539,0.0391620734592442,0.0243277932644988,0.0949098548492482
"LUNG-NSCLC2-0569",0.0436036124171043,0.119403115025975,0.0443317636869009,0.116553771304081,0.0384600649632525,0.0978208690207489,0.0268743220677495,0.210349584917385,0.0544379710796727,0.0366328044514234,0.423883672490614,0.0815329992561399,0.0268743220677495,0.210349584917385,0.0544379710796727,0.0366328044514234,0.0511219688258088,0.0165974325681275,0.140406807977744
"LUNG-NSCLC2-0571",0.0202253297751704,0.0952607559666378,0.0250935189306918,0.0970041759358914,0.0165029058535472,0.080055030714266,0.0550307729133531,0.266444251720701,0.0760271229343414,0.11056273268768,0.384493648634545,0.110452666713523,0.0550307729133531,0.266444251720701,0.0760271229343414,0.11056273268768,0.0849729739308403,0.0195402201418781,0.098539356061325
"LUNG-NSCLC2-0580",0.0188646098977723,0.100560752410463,0.0199508272408811,0.101204318783153,0.0162801563920745,0.088470659531267,0.0019133702729746,0.178186513889863,0.067465810199398,0.086016961523759,0.451187185655715,0.0714625720260631,0.0019133702729746,0.178186513889863,0.067465810199398,0.086016961523759,0.0621251469304807,0,0.151841071165374
"LUNG-NSCLC2-0584",0.0378667103951718,0.110281667128271,0.0375976445017259,0.109943664721636,0.0313290389471624,0.0956087690012897,0.0050080540631061,0.189397001249905,0.0573000342458383,0.113598677558827,0.470313397470963,0.0632404685178405,0.0050080540631061,0.189397001249905,0.0573000342458383,0.113598677558827,0.04603506374931,0,0.0906045882616787
"LUNG-NSCLC2-0585",0.0132269968218673,0.0978201778509134,0.0140573020704685,0.0925183436304366,0.0095214034659839,0.0789096438157375,0.0954565175120402,0.244420205882698,0.0509771201656786,0.0825959871341468,0.454101496405089,0.0379088006373127,0.0954565175120402,0.244420205882698,0.0509771201656786,0.0825959871341468,0.0366677526128832,0.0038091094170592,0.0921481748440643
"LUNG-NSCLC2-0588",0.0345007105905643,0.105450552224065,0.0402131577811969,0.104086096553302,0.0413070844469504,0.0915448301127778,0.0553382204322147,0.243190216814848,0.055604576379543,0.116080376954726,0.494957686626866,0.0441692284812236,0.0553382204322147,0.243190216814848,0.055604576379543,0.116080376954726,0.0716101340696039,0.0180488096701679,0.110296783786182
"LUNG-NSCLC2-0590",0.0304088951113308,0.0960285551781441,0.0274464612655506,0.0881911819676027,0.0244100699030157,0.0748166723015176,0.0327051778057868,0.255848989803932,0.0324459986734426,0.0677781482368199,0.297382657195454,0.0499839453121723,0.0327051778057868,0.255848989803932,0.0324459986734426,0.0677781482368199,0.0421785004488887,0.0174786524071481,0.0674132991903408
"LUNG-NSCLC2-0592",0.0748103034661751,0.130059655392359,0.0682781345392526,0.128165218583802,0.0588574368575222,0.110032797102331,0.0111417198518629,0.0737278705024843,0.0327230634535519,0.0301521762524985,0.381062607744875,0.110551400920594,0.0111417198518629,0.0737278705024843,0.0327230634535519,0.0301521762524985,0.0220171797615375,0,0.0865179258149206
"LUNG-NSCLC2-0593",0.0157350576377278,0.0942409389540005,0.0198376406796258,0.0937723254179864,0.0172960165704453,0.0804644821687236,0,0.203382041972601,0.0661649063010014,0.100658470693342,0.466151711136987,0.0759762285253577,0,0.203382041972601,0.0661649063010014,0.100658470693342,0.0559099113352179,0,0.101159054854093
"LUNG-NSCLC2-0595",0.0208746547510566,0.0795393167007923,0.023244156762612,0.0780658337341798,0.019294036372129,0.0648764193838096,0.0294919090855146,0.240286653491109,0.0374401354603445,0.042425493885289,0.133531084625496,0.0702281959704511,0.0294919090855146,0.240286653491109,0.0374401354603445,0.042425493885289,0.0239619792935502,0,0.0632791272777198
"LUNG-NSCLC2-0596",0.0385072484712234,0.111310132372277,0.039720423595657,0.115291664944578,0.0448254227804759,0.104058908679416,0.0476509793701336,0.246109933842705,0.0311526646716241,0.114847060696102,0.354876757942897,0.0666855272096027,0.0476509793701336,0.246109933842705,0.0311526646716241,0.114847060696102,0.0681144500268468,0.0150572563758292,0.134618816758127
"LUNG-NSCLC2-0599",0.0734714558079589,0.131013116944584,0.102303323374385,0.137711517946236,0.0992359281309853,0.121875352856191,0.0513072226132942,0.211051415044026,0.0337348340009933,0.10098646527604,0.538774430256686,0.0881296982643475,0.0513072226132942,0.211051415044026,0.0337348340009933,0.10098646527604,0.048166256984971,0.0134375252666411,0.131980714894475
"LUNG-NSCLC2-0602",0.0295746284488634,0.102711489286022,0.0373220141956506,0.106385926925593,0.0373252194836598,0.0952180869119963,0.006514553340227,0.169199467662714,0.0118761136518183,0.0519397794445012,0.438227503626826,0.0871388145924441,0.006514553340227,0.169199467662714,0.0118761136518183,0.0519397794445012,0.0121977069144469,0,0.0909140636068355
"LUNG-NSCLC2-0603",0.037013372789508,0.12732189659349,0.0413932130075429,0.129797135160796,0.0449100478052737,0.119241793354463,0.0112165267580188,0.216671108985013,0.0596165320047735,0.0700243066925855,0.40931521886122,0.0640530294686247,0.0112165267580188,0.216671108985013,0.0596165320047735,0.0700243066925855,0.064153560193158,0,0.0722721005668571
"LUNG-NSCLC2-0608",0.0258671096984286,0.0951403232006352,0.0273348551159328,0.0927545254585904,0.0255148301436381,0.084530775485152,0.0365130792910697,0.156500819337459,0.0641096909401296,0.0789316676923199,0.230510379208268,0.0744444593026031,0.0365130792910697,0.156500819337459,0.0641096909401296,0.0789316676923199,0.0483250253922353,0.0021361149784083,0.0938287763553693
"LUNG-NSCLC2-0610",0.033891921705496,0.105518592821822,0.0464243196740599,0.108584857421085,0.0388522866411229,0.0933934282417289,0.0269430979722693,0.199595262101843,0.0490791713102672,0.104704582386562,0.508373561566991,0.098747484927624,0.0269430979722693,0.199595262101843,0.0490791713102672,0.104704582386562,0.0701844098024569,0.0048606076015659,0.102390204693457
"LUNG-NSCLC2-0611",0.0379379877499062,0.12657899881422,0.0477442959750533,0.129064874060091,0.0407815562159433,0.112477810284391,0.0133087749419638,0.168200643794728,0.0487729183078078,0.0571701589979492,0.408323707200069,0.0640327101889363,0.0133087749419638,0.168200643794728,0.0487729183078078,0.0571701589979492,0.0346866229382953,0,0.0856761162729005
"LUNG-NSCLC2-0622",0.0522468192874928,0.12472428827787,0.0577753287892229,0.127914971537032,0.0585515429941715,0.117847224824814,0.0330794818160239,0.167510503059861,0.0264734929039619,0.0160063992937374,0.323722822693043,0.0962094772778942,0.0330794818160239,0.167510503059861,0.0264734929039619,0.0160063992937374,0.0253821466123129,0,0.0821582987889777
"LUNG-NSCLC2-0623",0.0288255539336275,0.124680117996953,0.0345802668233072,0.126793234292143,0.0332013803591917,0.113932921394997,0,0.210182985790879,0.0552251000142853,0.101599782893623,0.555357761405275,0.0857321000316223,0,0.210182985790879,0.0552251000142853,0.101599782893623,0.0473285299019738,0,0.120415228662047
"LUNG-NSCLC2-0630",0.0346034179798256,0.0961342747228478,0.0387940820507541,0.099236580454712,0.0311939425498632,0.0846903873898748,0.124652797337633,0.258659997331206,0.0071888143196213,0.0503701130475217,0.316654071279444,0.0890564065123402,0.124652797337633,0.258659997331206,0.0071888143196213,0.0503701130475217,0,0.0513139304191281,0.111641552747534
"LUNG-NSCLC2-0631",0.0443143217166398,0.156678608567853,0.0560054321793961,0.155806477804533,0.0611050552831545,0.141531102612897,0.0310838653483859,0.216653230667015,0.0424509262599302,0.0726320181159495,0.501184163382228,0.068159139117638,0.0310838653483859,0.216653230667015,0.0424509262599302,0.0726320181159495,0.0538762698958691,0.0302785537868949,0.139581476386725
"LUNG-NSCLC2-0632",0.0327174878909533,0.102946244090092,0.0397007694547713,0.101947668377456,0.0272329310758613,0.0880915664685895,0,0.18604079359413,0.0398917880183205,0.0608546350647966,0.260590491090052,0.0085418668940792,0,0.18604079359413,0.0398917880183205,0.0608546350647966,0.0263468037269338,0,0.0595775980534084
"LUNG-NSCLC2-0633",0.0602466208057845,0.122350478477799,0.0635503594124332,0.125118993985816,0.0519991450765212,0.111160197401077,0.0796638843689229,0.146173205119509,0.0908510538937572,0.0848217503262991,0.594299622862525,0.13250203419189,0.0796638843689229,0.146173205119509,0.0908510538937572,0.0848217503262991,0.0817835129972521,0.0023425428388476,0.0977550982803662
"LUNG-NSCLC2-0635",0.0017319366359681,0.076823916265064,0.0017147617288969,0.0749147074153495,0,0.0663637527996644,0.0335769155354252,0.273105952509802,0.0500646708915694,0.0640302656039751,0.136327671931258,0.027210944277335,0.0335769155354252,0.273105952509802,0.0500646708915694,0.0640302656039751,0.0486495382412912,0.0392071970728461,0.081635216026397
"LUNG-NSCLC2-0641",0.021040806824819,0.101644138986513,0.0267319180033344,0.105517004382134,0.0226902400632391,0.0931144937328805,0.0273277753519041,0.216093001845694,0.0742073054431524,0.0878967473333232,0.619056764981977,0.0805517225989858,0.0273277753519041,0.216093001845694,0.0742073054431524,0.0878967473333232,0.0499500783036727,0.0136236532075617,0.122230010407421
"LUNG-NSCLC2-0648",0.0375015588081515,0.096967197211961,0.036956052984196,0.0956410318617224,0.0352985395904593,0.084704312543006,0,0.134459842644248,0.0551388249877769,0.087410456403906,0.536614319513774,0.0751629269470689,0,0.134459842644248,0.0551388249877769,0.087410456403906,0.0536834246952009,0,0.158565670155664
"LUNG-NSCLC2-0652",0.0417054543378366,0.13692891920236,0.0506928438888357,0.140877547679523,0.0441371105766739,0.127108261518788,0.0391286796913205,0.18941245154818,0.0258763252316175,0.094524796714174,0.482300211536432,0.0610918471317967,0.0391286796913205,0.18941245154818,0.0258763252316175,0.094524796714174,0.0236203321226198,0.0027058295578421,0.0680590397990541
"LUNG-NSCLC2-0657",0.072946233611898,0.130239390443699,0.0790814250569044,0.132333435488084,0.0746946802329333,0.117075597517413,0,0.129090010953281,0.0461507989171563,0.0870024163401737,0.440291229020716,0.0763873387652976,0,0.129090010953281,0.0461507989171563,0.0870024163401737,0.0460786627887477,0,0.121071219813797
"LUNG-NSCLC2-0660",0.0520744718818797,0.107404950432251,0.0471381267945214,0.10157679032019,0.0480178195672469,0.0889057140816178,0.00027105404182231,0.21202462172706,0.0212499747890312,0.0552170742273272,0.293295441670025,0.035984361066617,0.00027105404182231,0.21202462172706,0.0212499747890312,0.0552170742273272,0.0103142073451816,0,0.0594869882763218
"LUNG-NSCLC2-0678",0.0116845066461318,0.104601796442739,0.0127474418693292,0.109439905596398,0.0097330172808636,0.097155866676361,0.0694998876630868,0.269961091654671,0.166372238216814,0.126394201937391,0.486780584476627,0.0827655456662784,0.0694998876630868,0.269961091654671,0.166372238216814,0.126394201937391,0.189882307563488,0.0505838538910753,0.179147978543728
"LUNG-NSCLC2-0683",0.0306344986699817,0.102076530437903,0.0360030908910653,0.104959959142035,0.0379164874461738,0.0921923361775275,0.0307268655133325,0.168002947729507,0.054720601977918,0.100741592819593,0.456819202405473,0.0801560061882346,0.0307268655133325,0.168002947729507,0.054720601977918,0.100741592819593,0.0347131047486817,0.0047802564101813,0.0929863492125585
"LUNG-NSCLC2-0685",0.0247858048495976,0.120706683336316,0.0361399146409361,0.122512455352316,0.042688172947501,0.111565277532181,0.0438980529121633,0.186360495623382,0.0520315948013136,0.0691894119481766,0.566430709552625,0.096691362350318,0.0438980529121633,0.186360495623382,0.0520315948013136,0.0691894119481766,0.0448967284142361,0.0071921639958683,0.0943521577190821
"LUNG-NSCLC2-0687",0.0486994919036506,0.11362107938736,0.0501751969408876,0.117297545441495,0.0512194964395734,0.10339213204736,0.0249438473993414,0.227802563493231,0.0335007160244265,0.11189974846353,0.474075519318035,0.0766354701519887,0.0249438473993414,0.227802563493231,0.0335007160244265,0.11189974846353,0.0179412550527703,0,0.0719356653549002
"LUNG-NSCLC2-0689",0.0337965443260877,0.10699443306526,0.03807283665826,0.10792939625826,0.0387101902469183,0.0930263521047666,0.0447774624749683,0.182228507317515,0.0648535030073944,0.0745668680316104,0.393827394963094,0.0620185625475861,0.0447774624749683,0.182228507317515,0.0648535030073944,0.0745668680316104,0.0394210969863073,0,0.0869093256619568
"LUNG-NSCLC2-0695",0.0155850449183902,0.0840337659905056,0.0142291696843572,0.0782185406240217,0.008890046345288,0.0644386397709545,0.0367887347742014,0.249586625460764,0.0512339097670442,0.0883515195658118,0,0.0062225362141095,0.0367887347742014,0.249586625460764,0.0512339097670442,0.0883515195658118,0.0261507307227731,0.0145374578421155,0.0784173112745519
"LUNG-NSCLC2-0696",0.0227989565169368,0.109197919040061,0.0292695807586039,0.112487188818644,0.0281163653903179,0.0966663173863646,0.0262336217954679,0.162603863124223,0.059122704697003,0.0693580827642607,0.584884101072638,0.0956363642004954,0.0262336217954679,0.162603863124223,0.059122704697003,0.0693580827642607,0.0719901461458489,0.0067918414774185,0.108903325693258
"LUNG-NSCLC2-0698",0.0394614041107824,0.107821627955871,0.0436414765053018,0.105150791422582,0.0438089534274081,0.0916639593539085,0,0.165740722657625,0.049094837455228,0.0722158338552307,0.33136672132166,0.0339162561952817,0,0.165740722657625,0.049094837455228,0.0722158338552307,0.0426587264096888,0,0.0732759288630385
"LUNG-NSCLC2-0704",0.0129050974482626,0.0960146130344327,0.0140146370973898,0.0959758046065027,0.014522455978427,0.0895661915781445,0.0629624976233161,0.217447634493027,0.135184107040198,0.109137824185593,0.397598344849382,0.0576969902592612,0.0629624976233161,0.217447634493027,0.135184107040198,0.109137824185593,0.1625282207921,0.02735625590311,0.125071081428841
"LUNG-NSCLC2-0705",0.0278291696840463,0.103224938803283,0.0322660629368231,0.107958055007485,0.0325734820276723,0.0953624683117923,0.0089232050311413,0.242317208926989,0.0572647750102766,0.0903558688389355,0.503307234784201,0.0664901813356186,0.0089232050311413,0.242317208926989,0.0572647750102766,0.0903558688389355,0.0595778761598188,0,0.147207169876106
"LUNG-NSCLC2-0707",0.0495747201476027,0.133049624774019,0.0512781233417496,0.135272514491533,0.0457408351033914,0.124724610164885,0.0327648653106881,0.205919830126953,0.0878982898264262,0.0739950780866833,0.433986801853151,0.0808406881177355,0.0327648653106881,0.205919830126953,0.0878982898264262,0.0739950780866833,0.0984638289740959,0.0083327468015279,0.0973479614887584
"LUNG-NSCLC2-0709",0.0226579667178535,0.138225325795649,0.0295157367611261,0.135211103085611,0.0306829195789553,0.122762301464635,0.000105863898987598,0.29042708414996,0.0243724682953736,0.0490570067791397,0.147297086877346,0.0209328539724207,0.000105863898987598,0.29042708414996,0.0243724682953736,0.0490570067791397,0.0078441901035387,0,0.0616642931154829
"LUNG-NSCLC2-0712",0.0089476779640601,0.0906299713159131,0.0109385680819528,0.0903530905080944,0.0090942130662713,0.0781597447093902,0.0452114891149528,0.270068349636407,0.0039803867358732,0.105313716461278,0,0,0.0452114891149528,0.270068349636407,0.0039803867358732,0.105313716461278,0,0.0069847785026762,0.0798915560295933
"LUNG-NSCLC2-0714",0.0300173144979403,0.0923669779927282,0.0354011523948969,0.0939985934816396,0.0349979748743646,0.0803448737300695,0.0524813865195599,0.244554045413838,0.0458277947763394,0.0899965949153946,0.269391224214466,0.0227993074124134,0.0524813865195599,0.244554045413838,0.0458277947763394,0.0899965949153946,0.0337941825452126,0.0455283744570744,0.0731210745688443
"LUNG-NSCLC2-0715",0.0152689087620869,0.115724957200398,0.0218791487705253,0.115622040195588,0.0162481951383263,0.103601837753654,0.0332345257007741,0.21673236083732,0.0539039546085981,0.0752474776979784,0.394503123132054,0.0799463556965517,0.0332345257007741,0.21673236083732,0.0539039546085981,0.0752474776979784,0.04373279328236,0.0049538343736105,0.104141950554005
