"","Quantiseq_NK_cell","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"LP.01.01",0.07249673504573,0.0634291823442048,0.274385315326015,0,0.296507233269616,0.0345412618789281,0.00897963817302364,0.080538693876774
"LP.01.02",0.0624602769984025,0.0238058340000925,0.253406504139968,0,0.258733000120628,0.00366998447802939,0,0
"LP.01.03",0.0290976656692244,0.0404932282296451,0.199075222495611,0,0.206381288027244,0,0,0
"LP.01.04",0.0448577762407114,0.00718560076099606,0.230018347233978,0,0.276364882563769,0.0657699098068966,0,0.00368742856989146
"LP.01.08",0.0691272102944388,0.0177834241037461,0.195740885133841,0,0.231328812247738,0.0259942212704145,0,0.00182488110641648
"LP.01.10",0.0391480713535014,0.0539769468108626,0.171989691888426,0,0.190862291018812,0.0424249376832462,0,0.0970505401650319
"LP.01.12",0.0355960261022135,0.0375166924005162,0.109540877221204,0,0.107598360019414,0.0243331309848515,0.0203263710069456,0.046786639413548
"LP.01.14",0.0501249986618971,0.039263287288423,0.263280147257272,0,0.283336542329059,0.0230917474568143,0,0.0485430882569572
"LP.01.15",0.0281379755831084,0.00676318014084002,0.110812751434855,0,0.13481154083036,0.0674507676243897,0,0
"LP.01.16",0.046692188660568,0.0328428815095331,0.0899677958463425,0,0.119880324243326,0,0.0199589501836417,0.0565143458811219
"LP.01.18",0.0272879156229419,0.00887754541871399,0.216695935903963,0,0.239825734289683,0.030389253534853,0.0373981584518629,0
"LP.01.19",0.0521222272006607,0.0527593128997434,0.156231210320856,0,0.162021895583638,0.0216117627894175,0.0336612087635338,0.0146168670243267
"LP.01.20",0.0316283783739952,0.0427007708672382,0.0956522499963901,0,0.112422974358785,0,0,0
"LP.01.22",0.0510289408285318,0.0113613464612156,0.314826448041617,0,0.350244401292826,0,0,0
"LP.01.23",0.0399833641039902,0.0310563113044425,0.180454025671607,0,0.197650969529287,0,0,0
"LP.01.24",0.0435963916705583,0.0484654122503876,0.0986100130475784,0,0.104884650614924,0,0,0.0360394932251369
"LP.01.25",0.048359004911714,0.0486877906865762,0.18052257665349,0,0.194437794192485,0.0106904453022887,0,0.013922080699148
"LP.01.28",0.0468090113668751,0.0453161382654482,0.106563855934064,0,0.112841507601339,0,0,0.0403584647731556
"LP.01.31",0.0400562917675356,0.0425402028937846,0.438870777626811,0,0.446604728303933,0,0,0.00547766269280887
"LP.01.32",0.0360209538422664,0.00655002949710912,0.184717570431875,0,0.220233121115685,0,0,0
"LP.01.34",0.0326405865565052,0,0.0670480172794171,0,0.0934097816684175,0.0175557048969332,0,0
"LP.01.35",0.0443295997233502,0.0670263108642815,0.0989193383965042,0,0.103751494362444,0,0.0269860353886223,0.00849473427438536
"LP.01.40",0.0270598693934372,0,0.0848981183633062,0.0162124815257849,0.138155865997767,0.0776264995348177,0.0766014784129688,0.00343364031802107
"LP.01.42",0.0229594867379354,0,0.0698821142787696,0,0.111503869440061,0.0163653359834153,0.0585025008933019,0.009038135112519
"LP.01.46",0.0370779248158608,0.027476569535988,0.266999292732908,0,0.285792555534169,0.0399341386449466,0.0283800467873689,0.0798485250665011
"LP.01.47",0.0315841902227473,0.0255432094999473,0.197123917843292,0,0.206731850191196,0,0.0312106444511414,0.0259629969313425
"LP.01.57",0.0276046280265932,0.0335441346053892,0.122563852016089,0,0.135415932636146,0.00877287996077542,0,0
"LP.01.58",0.0304106784088166,0,0.0624456978021809,0,0.0919522490537013,0.0277224975848317,0,0.00625206826199834
"LP.01.61",0.0432982176347061,0,0.0726309946881334,0,0.134828811580928,0.00540376248654264,0,0
"LP.01.64",0.0325708369760715,0,0.139253892569052,0,0.220742648864091,0.0198621947645724,0.0197962377043025,0.0154556962634988
"LP.01.66",0.0379193877469217,0.0453574612601037,0.0654113240046829,0.0158376795392894,0.0864565824426207,0.0329594287837229,0,0.0373482284819878
"LP.01.67",0.0442562343206702,0.0346394692584453,0.180279529413197,0,0.186242363166892,0,0,0.016914293002358
"LP.01.68",0.0381449551764593,0.0316186602860605,0.137860190248282,0,0.148395746131793,0.010887341575425,0.0432594480098887,0.0191513260059186
"Test.FFPE.01",0.0276353369044402,0,0.0733003054267854,0,0.123966103964913,0,0.0541204434492496,0.00226219891994974
"Test.FFPE.02",0.02764698108655,0,0.0560984466437038,0,0.0712135804593147,0.0385920955099127,0,0.0447274597384807
"Test.FFPE.03",0.0286539910496091,0.0332690282450485,0.152486133576979,0,0.152004809205536,0.0972990510733104,0,0.0656929719514671
"Test.FFPE.04",0.0352132669667907,0.0100468677537114,0.0805170344296975,0,0.112484489420407,0.0337587648254898,0,0
"Test.FFPE.05",0.0319434111328004,0.00305228945430838,0.0587589547231619,0,0.077832978189007,0.018687122500989,0,0
"Test.FFPE.06",0.0230724942566984,0,0.0553799888765812,0,0.0969995823042075,0.0349934299410875,0,0
"Test.FFPE.08",0.0344163001615848,0,0.0701862153708943,0,0.117125364044816,0.0217102537607737,0,0
"Test.FFPE.09",0.028442653661388,0,0.0903136697668468,0,0.135386384075943,0.0440558802868776,0,0
"Test.FFPE.10",0.0604001264012786,0,0.219053638085315,0,0.254119143255875,0.0187677871152314,0,0
"R3388_YZ_1",0.0633513574210295,0.0498210486102847,0.10978301587516,0,0.133171662712244,0.0312765812779742,0,0.0767181901500533
"R3388_YZ_2",0.0730094360327435,0.118690511916923,0.105938976820746,0.111813944542359,0.119037199711049,0.0618918655356531,0.0961428769999005,0.127019718908665
"R3388_YZ_3",0.0327789295892615,0.023515265993593,0.0969301695544212,0,0.101877192904313,0.0295115184485966,0.0131272646603592,0.0224227959383219
