"","Epidish_CCLE_TIL10_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","Epidish_TIL10_Neutrophils","DeconRNASeq_TIL10_Neutrophils","CBSX__TIL10__Neutrophils","CBSX__CCLE.TIL10__Neutrophils"
"J1_p1_rep1_B",0.00026310412762242,0.0390465450231323,0.0022853510664266,0.0303111189555176,0.0174224782971041,0.0032378277745588
"J1_p1_rep2_B",2.67545837837871e-05,0.0397338256238656,0.0019035201715067,0.0304787481830306,0.0163461963455752,0.0033507649788695
"J4_p1_rep1_B",0.00037121321292089,0.0231665185717654,0.0016323638830255,0.0325555648005822,0.0153538977180117,0.0066028777320901
"J4_p1_rep2_B",0.00028829822339585,0.0268429590047721,0.0017073560841647,0.0347974108119581,0.0148194282427528,0.0063311253955854
"J8_p1_rep1_B",0.00044020549784939,0.0225930882651298,0.0031930239026294,0.035610799305827,0.0195362120012526,0.0049227605090903
"J8_p1_rep2_B",0.00047777205631048,0.0236223919121899,0.0024548659572603,0.0361875565312819,0.0195704832599395,0.0044813068089789
"J11_p1_rep1_B",0.00090316723605645,0.0285285297268346,0.0025028081910722,0.0327465808362509,0.0203926116219225,0.0061318951705088
"J11_p1_rep2_B",0.00057659018101858,0.0309850368877345,0.0029050295788158,0.0343270385407496,0.0212899777624995,0.0056371036766337
"J14_p1_rep1_B",0.0010859658667776,0.0347698573325045,0.001549686738146,0.0370631742159754,0.0189005659214548,0.0053558590241585
"J14_p1_rep2_B",0.00067861646449785,0.039344330166726,0.0020781707105637,0.0402740054284445,0.0183461516108887,0.0053609740984285
"J1_p2_rep1_B",0,0.0433302017160218,0.00030194069477739,0.0320447150575602,0,0.00094616907005705
"J1_p2_rep2_B",0,0.0439253659533339,0.00038508454781111,0.033065910686766,0.001238895394379,0.0011561956006508
"J4_p2_rep1_B",0,0.0432564632793043,0.000499730960077,0.0364369235357671,0.0017488870848275,0.0038488194576446
"J4_p2_rep2_B",0,0.0507781711009833,0.00054223411378289,0.0412733126222795,0.0016719213665176,0.0023187374192746
"J8_p2_rep1_B",0,0.0431801060022908,0,0.0396231964679319,0.0016881052314732,0.0045605423911709
"J8_p2_rep2_B",0,0.0463621606703528,0,0.0414887694422935,0.00079972019779829,0.0010386568742372
"J11_p2_rep1_B",0.0010501560418427,0.0524625487388589,0.003237788258149,0.0472543317782779,7.985558385598e-05,0.00045380875656136
"J11_p2_rep2_B",0,0.0484465338874085,0.00062540245265541,0.0436106142044642,0.0096601211131807,0.000410302638512
"J14_p2_rep1_B",0,0.0500220110991842,0.0013971964364775,0.0446349689949136,0.00030026479701498,0.00021082602136461
"J14_p2_rep2_B",0.0029230917657104,0.0452783957785846,0.0043872954898375,0.045564686191219,0.001876987780795,0.0005432275888156
"J1_p3_rep1_B",0.00055125121697368,0.030388789600006,0.0018681888080278,0.0286823397020788,0.0184994900461104,0.0065570152526429
"J1_p3_rep2_B",0.00068970796079448,0.0294511490445263,0.0019457243934246,0.0276410162052193,0.0192104221176355,0.006394817387217
"J4_p3_rep1_B",0,0.0202534226639323,0.0032268784738122,0.0295595438961225,0.0174523889374596,0.0023773719182794
"J4_p3_rep2_B",0,0.0217407380288594,0.003674693647149,0.0303350780112022,0.0135994650422193,0.0015396793674636
"J8_p3_rep1_B",0,0.0215646200374395,0.003871281017674,0.0295677799518485,0.0169274582997994,0.0049035517318557
"J8_p3_rep2_B",0.00019434468766913,0.0265417998650051,0.0044099678023289,0.0305013135326739,0.0166902689085973,0.0047769072081357
"J11_p3_rep1_B",0.00074378407002776,0.033893443883945,0.0045971865637436,0.0331704238734566,0.016301478878653,0.005990003728963
"J11_p3_rep2_B",0.00048748690560783,0.0379644611116611,0.0053631902546698,0.035205837342764,0.0163806070642352,0.0068895765943378
"J14_p3_rep1_B",0.001611568266538,0.0378033688596666,0.0052744637388248,0.0355407898451214,0.0008594629874079,0.0060291095249128
"J14_p3_rep2_B",0.001825612118334,0.0413290911940378,0.0050992012428244,0.0377608046108293,0.00019926272766522,0.0044860048864051
"J1_p1_rep1_hetero",0.0036010919746762,0.0087452146202776,0.0040500381875213,0.0097152083648154,0.0109403625004278,0.0016899726609558
"J2_p1_rep1_hetero",0.0003848716560038,0.0105000506857813,0.0024341140369265,0.0063056875433241,0.0185484572569915,0.0054316839756238
"J3_p1_rep1_hetero",0.0036266290436001,0.0181896600887229,0.0054505799765458,0.0172471803145996,0.0034822776380194,0.0088818867667055
"J4_p1_rep1_hetero",0.0033308504711872,0.0208666470003846,0.0058221402861085,0.0206588824495474,0,0.003558139053782
"J5_p1_rep1_hetero",0.003097359566706,0.0227649641199607,0.0055877055548875,0.0253437074716849,0.0096616284669058,0.0100618083147464
"J6_p1_rep1_hetero",0.0031171503904672,0.0131878242454752,0.0061562777094628,0.025632936847691,0.0177800678226271,0.011392067299262
"J7_p1_rep1_hetero",0.0033025709409902,0.013744267435177,0.0055701349180939,0.0233313965436161,0.0205853395978407,0.0115156768496364
"J8_p1_rep1_hetero",0.0035422385001543,0.0180587278516547,0.0063089651752732,0.0262487890783055,0.0178768774323051,0.0109557603760092
"J9_p1_rep1_hetero",0.0036146928066507,0.0188882062323596,0.0060552440574081,0.0224921368683713,0.0222374035479884,0.0126172817282851
"J11_p1_rep1_hetero",0.0029996358502018,0.0171852489062205,0.0051630129003561,0.0225901097361429,0.0175967052182669,0.0074801279321939
"J13_p1_rep1_hetero",0.0035651140432581,0.0181333878643586,0.0067172941024692,0.025950620501114,0.0172572127093222,0.0096996735418007
"J1_p1_rep2_hetero",0.0037070231285252,0.0072451406745363,0.0058787731657251,0.0078532204481233,0.0221664044276604,0.0030154724643646
"J2_p1_rep2_hetero",0.0011544288884808,0.0090894987053823,0.0033935677673445,0.0054935342286671,0.0077472548958692,0.0053051774364132
"J3_p1_rep2_hetero",0.0033544657531614,0.0166430670443908,0.0058757862396764,0.0171673433011004,0.0107130800225442,0.0094695288260377
"J4_p1_rep2_hetero",0.0034388510767727,0.0228964451641064,0.0058247825739529,0.022560596800215,0.0041495460334833,0.0079889721428383
"J5_p1_rep2_hetero",0.0028112996891911,0.0224692527490429,0.005572253165272,0.0261932778253499,0.0165029546500741,0.0104909045162947
"J6_p1_rep2_hetero",0.0025210570296948,0.0136086742728595,0.004474418452139,0.0256359548333327,0.0179720668310936,0.0120902694648289
"J7_p1_rep2_hetero",0.0026834457613265,0.0159760085820409,0.0050643362387956,0.0255891591326321,0.0182358775975205,0.0104975346260841
"J8_p1_rep2_hetero",0.0030987476911966,0.018401373082532,0.0062200343277826,0.0258639573189881,0.0174644900361689,0.0118582717047765
"J9_p1_rep2_hetero",0.0037243550478627,0.0202999007480673,0.0065915482841984,0.023874784313242,0.0214386391154387,0.0124760512266435
"J11_p1_rep2_hetero",0.0031957316506297,0.0186389501147727,0.006412631603172,0.0228849611432362,0.0167534049010203,0.0084993172689769
"J13_p1_rep2_hetero",0.0032601772505517,0.0181325956071922,0.0067294959785247,0.026076706476523,0.0159892185509002,0.0094835808335246
"J1_p2_rep1_hetero",0.0031395637828887,0.025216806250986,0.0040141330947327,0.0211101000836192,0.0146022471410586,0.0075891776237697
"J2_p2_rep1_hetero",0.00406926832884,0.0259307686052072,0.0041176849871629,0.0216719258912842,0.0048775608360829,0.0084833896318418
"J3_p2_rep1_hetero",0.0041095772814569,0.0242223092811141,0.0049763825599193,0.0259385879199993,0,0.0113721073038068
"J4_p2_rep1_hetero",0.0036036276957975,0.0059912288413361,0.005913753365048,0.023389873502432,0.0086129565084432,0.0022769466846606
"J5_p2_rep1_hetero",0.003674432952659,0,0.0067289938783279,0.0208176817422487,0.0075423022892421,0.0059468113404513
"J6_p2_rep1_hetero",0.0014275114737126,0.0143617594949995,0.0068420243506271,0.0245406335266526,0.0103497187328224,0.0112365593222757
"J7_p2_rep1_hetero",0.0028144056366921,0.0200615761805029,0.0052499902005948,0.0245036545754818,0.008453123280451,0.0127878799652902
"J8_p2_rep1_hetero",0.003192988002654,0.0287890863006653,0.0067725192267804,0.029342080260417,0.0083683616356117,0.0107466993444127
"J9_p2_rep1_hetero",0.004290321719065,0.0231236642576598,0.0053116386735898,0.0224552973728962,0.020499819982342,0.009917730331563
"J10_p2_rep1_hetero",0.0043490990370872,0.0410826012433041,0.0068497966478083,0.0371448168105256,0.0074804175891002,0.0099586236780632
"J11_p2_rep1_hetero",0.0047278021505206,0.0324728009631257,0.0058660220410758,0.0298961832588862,0.0170094000641263,0.0095085196642725
"J12_p2_rep1_hetero",0.0046750293684097,0.0327638009931716,0.0063782510455381,0.0299458586595944,0.0081431662461646,0.0069206642190029
"J13_p2_rep1_hetero",0.003465068845736,0.0304210725983167,0.0050883014475131,0.02787752748768,0.0184422457712368,0.0087995173243573
"J1_p2_rep2_hetero",0.0027925226617131,0.0233036340064407,0.0048933184576505,0.0192146888422335,0.0192004542050239,0.0081454461581627
"J2_p2_rep2_hetero",0.0028899054319736,0.0249798674515615,0.0029889198737813,0.0206559134726738,0.0057304247418901,0.008682383540605
"J3_p2_rep2_hetero",0.0042691861104407,0.0238393096525852,0.0033035899783042,0.025105665604339,0,0.0111827824447772
"J4_p2_rep2_hetero",0.004016307918112,0.0072009930528584,0.0069331652153215,0.0238648901726408,0.0050811154555402,0.0066180796335693
