"","Quantiseq_Neutrophil","DeconRNASeq_CBSX_LM22_Neutrophils","DeconRNASeq_CCLE_TIL10_Neutrophils","DeconRNASeq_LM22_Neutrophils","DeconRNASeq_TIL10_Neutrophils"
"R3388_YZ_1",0.146748815277548,0,0.251758820491714,0,0.227765146736528
"R3388_YZ_2",0.233966002280097,0,0.325743887783388,0,0.306796613510899
"R3388_YZ_3",0.251083371442122,0,0.270790988011434,0,0.258073815787705
"R3388_YZ_4",0.13087376302162,0.00339023434889378,0.180348261929013,0.00339023434889378,0.201900622608286
"R3388_YZ_5",0.0811885640149423,0,0.108002626791259,0,0.115532379218518
"R3388_YZ_6",0.213430350006274,0.0596685881999039,0.33385044585608,0.0596685881999039,0.325521200816311
"R3388_YZ_7",0.293092889797371,0,0.268551485025529,0,0.255936554634782
"R3388_YZ_9",0.117074455634074,0,0.0798221838966185,0,0.105378153065866
"R3388_YZ_10",0.17456801216377,0,0.21074672070248,0,0.186453188703433
"R3388_YZ_11",0.144630520415874,0.0320075033351943,0.166662232539319,0.0320075033351943,0.165312807419398
"R3388_YZ_12",0.294163404122066,0,0.120136955077831,0,0.108013225615098
"R3388_YZ_13",0.143315354862171,0.0300173464068945,0.290750520669786,0.0300173464068945,0.298598642622177
"R3388_YZ_14",0.141358667317007,0.00262918384010851,0.194952753574046,0.00262918384010851,0.19512019433933
"R3388_YZ_15",0.126441662780094,0.0860017317214177,0.14526690603913,0.0860017317214177,0.133477290418528
"R3388_YZ_16",0.107517719430968,0,0.227731401585458,0,0.201467196226946
"R3388_YZ_17",0.136263184862326,0,0.139029008346371,0,0.130565364148456
"R3388_YZ_19",0.145896810665301,0.111469129153329,0.151229543820844,0.111469129153329,0.188411458857736
"R3388_YZ_20",0.112576793494966,0.0527013671327441,0.0599895918905775,0.0527013671327441,0.107249117568618
"R3388_YZ_21",0.21968310985827,0,0.194784754519979,0,0.17893466776008
"R3388_YZ_23",0.204727540668777,0,0.194194746719109,0,0.184360245089871
"R3388_YZ_24",0.115833795145251,0.00773076586521901,0.25915510378183,0.00773076586521901,0.215754114855153
"R3388_YZ_25",0.265272383697706,0,0.278673442206281,0,0.266178706150628
"R3388_YZ_26",0.143263307085017,0.0441026857756081,0.178537110710937,0.0441026857756081,0.149002201046734
"R3388_YZ_27",0.18388305927937,0.0165090896983771,0.305632224279925,0.0165090896983771,0.286329768318062
"R3388_YZ_28",0.130203512219143,0,0.0700927841625071,0,0.0806513062912198
"R3388_YZ_29",0.0698152253830928,0,0.140189836501361,0,0.13548382998379
"R3388_YZ_30",0.18673313243349,0.0258162733510297,0.116553978840973,0.0258162733510297,0.151087278197534
"R3388_YZ_31",0.165406498078939,0.00883740144521132,0.158338930370599,0.00883740144521132,0.15472265406177
"R3388_YZ_32",0.163562125911554,0,0.226973071794345,0,0.209578259309343
"R3388_YZ_33",0.154383310623997,0.0568088927697988,0.176844581399897,0.0568088927697988,0.161352696324943
"R3388_YZ_34",0.234602248774076,0.0332728221732098,0.270564258798298,0.0332728221732098,0.261978344446555
"R3388_YZ_35",0.179381191680703,0,0.13409846191635,0,0.116598140544
"R3388_YZ_36",0.252052655499218,0.0197115856260554,0.165494642093812,0.0197115856260554,0.159384189644056
"R3388_YZ_37",0.207396852853004,0.0174427147941449,0.224658883780323,0.0174427147941449,0.21069959872477
"R3388_YZ_38",0.0878079838994031,0.00263570540498073,0.192175669856166,0.00263570540498073,0.174269866544602
"R3388_YZ_39",0.129890873633657,0,0.26268756161555,0,0.255649304208155
"R3388_YZ_40",0.162812705194682,0,0.0676773804832614,0,0.130270894859418
"R3388_YZ_41",0.14820956590045,0,0.267982533995453,0,0.250467575982833
"R3388_YZ_42",0.0919838802400893,0,0.173885362359621,0,0.199932639471583
"R3388_YZ_43",0.124977900807149,0,0.229928072488953,0,0.212290579685888
"R3388_YZ_44",0.14692096828256,0,0.0616488869745504,0,0.0817533943156866
"R3388_YZ_47",0.0673381854760925,0,0.114599918385801,0,0.106925596444051
"R3388_YZ_48",0.096871252630516,0.0195290192035202,0.167719740893311,0.0195290192035202,0.176484000854516
"R3388_YZ_49",0.215384294055192,0,0.235192927855091,0,0.229524507430929
"R3388_YZ_50",0.218531183651666,0,0.181960036512294,0,0.154028298675998
"R3388_YZ_51",0.182438348642875,0.0456044196345721,0.195655148951473,0.0456044196345721,0.237399656502965
"R3388_YZ_52",0.176360295572303,0,0.242242614744175,0,0.22521203728175
"R3388_YZ_54",0.140918229894041,0.00923097857563456,0.0928019369151594,0.00923097857563456,0.083524159616229
"R3388_YZ_55",0.150784165439664,0,0.0754337540658812,0,0.0959805890708408
"R3388_YZ_57",0.215840441469482,0.104672477309096,0.255044547090482,0.104672477309096,0.246452052436467
"R3388_YZ_58",0.092444789874575,0.0737334289080463,0.210761892322916,0.0737334289080463,0.202584174915204
"R3388_YZ_60",0.255327001469971,0.0747224139420603,0.316914223436945,0.0747224139420603,0.29424704069184
"R3388_YZ_61",0.101980366578735,0.023081909052264,0.121777954245748,0.023081909052264,0.122980468183416
"R3388_YZ_62",0.25140561538347,0,0.250022160088765,0,0.234450663604811
"R4163_YZ_1",0.097231610617485,0,0.101642119449854,0,0.0902545044064867
"R4163_YZ_2",0,0,0,0,0
"R4163_YZ_3",0.0317223191229521,0,0.015613266984713,0,0.00199566470330941
"R4163_YZ_5",0.119587588406577,0,0.100001652957634,0,0.102880143435893
"R4163_YZ_7",0.106981192183852,0,0.207240039037826,0,0.19423517265502
"R4163_YZ_8",0,0,0,0,0
