"","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_Macrophages","Epidish_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","DeconRNASeq_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","CBSX__scRNA.melanoma__Macrophages","CBSX__HNSCC__Macrophages"
"R3388_YZ_1",0.0659852569320745,0.169744811915428,0,0.0489834758342773,0.0659852569320745,0.169744811915428,0.0658203596694456,0.00289235840517132
"R3388_YZ_2",0.392685394727888,0.216083894542896,0.116363713265249,0.0886009874970411,0.392685394727888,0.216083894542896,0.387176600328875,0.0866844233296473
"R3388_YZ_3",0.122878295190874,0.169520531288872,0.0477807990848833,0.0740558798194345,0.122878295190874,0.169520531288872,0.127677112039235,0.0731609116881269
"R3388_YZ_4",0.367868668875356,0.374355757252946,0.131889545452513,0.124782314761271,0.367868668875356,0.374355757252946,0.363553261054272,0.139090389357583
"R3388_YZ_5",0.155021517495861,0.161188174818732,0.00399817821425972,0.0692770669773772,0.155021517495861,0.161188174818732,0.121905084520637,0
"R3388_YZ_6",0.164779453439776,0.207847262649651,0.0167571853184358,0.080529279331482,0.164779453439776,0.207847262649651,0.148950696143242,0.0275528217509497
"R3388_YZ_7",0.179530434046742,0.208371188594291,0.0846797421999595,0.0896191653222637,0.179530434046742,0.208371188594291,0.195274872016057,0.0937408179840213
"R3388_YZ_9",0.132638102772197,0.168336460299358,0.0983558129062309,0.0898128653465868,0.132638102772197,0.168336460299358,0.0996282798757152,0.0792945746119245
"R3388_YZ_10",0.127161202472919,0.174692128418836,0.0180931127995047,0.0555449076327835,0.127161202472919,0.174692128418836,0.130337941764362,0.0494420652257265
"R3388_YZ_11",0.15988532889787,0.178154453960606,0,0.0712084295622399,0.15988532889787,0.178154453960606,0.127791910477798,0.0114081536976726
"R3388_YZ_12",0.109329314782825,0.0844281724421866,0.0714653419334838,0.0684242972307894,0.109329314782825,0.0844281724421866,0.111244049592129,0.0878671996653052
"R3388_YZ_13",0.220676488620255,0.247730288186389,0.0880120029288461,0.0930910869306434,0.220676488620255,0.247730288186389,0.218401439032718,0.0762769168464065
"R3388_YZ_14",0.402937770181733,0.271667771757416,0.171331740777172,0.0978950769486054,0.402937770181733,0.271667771757416,0.406998577627187,0.186217370769736
"R3388_YZ_15",0.048871781654845,0.225778928103243,0,0.0600564233328467,0.048871781654845,0.225778928103243,0.0249873382623442,0
"R3388_YZ_16",0.157268927519866,0.272045364000371,0.0397005437354956,0.124230350063293,0.157268927519866,0.272045364000371,0.148710361375375,0.0377750709752848
"R3388_YZ_17",0.0699686571340161,0.0906605229303161,0.00965855374885606,0.0613202384328442,0.0699686571340161,0.0906605229303161,0.0717665597301956,0
"R3388_YZ_19",0.147528319252645,0.140120771630967,0.116075632095603,0.074156175774401,0.147528319252645,0.140120771630967,0.156659893752173,0.127438419526144
"R3388_YZ_20",0.108499962956993,0.0972183298663274,0.156814061079174,0.0688213618383477,0.108499962956993,0.0972183298663274,0.105937108435269,0.161005099416601
"R3388_YZ_21",0.171081667619822,0.303410022460474,0.0183118985707363,0.0776895638685041,0.171081667619822,0.303410022460474,0.151212633122372,0
"R3388_YZ_23",0.284327744363674,0.247466755846219,0.226628992497519,0.124865474505469,0.284327744363674,0.247466755846219,0.268505113825417,0.184419382528002
"R3388_YZ_24",0.12970785834902,0.234844818730057,0.0372253332178096,0.0859048188337325,0.12970785834902,0.234844818730057,0.12272845808758,0.0545424236564788
"R3388_YZ_25",0.077526235934242,0.148885967374194,0.0839855062936304,0.0907596605892074,0.077526235934242,0.148885967374194,0.065798028953405,0.0576480220832137
"R3388_YZ_26",0.271593732281993,0.266233027686111,0.350819233331915,0.1071404073578,0.271593732281993,0.266233027686111,0.275579016343548,0.353097403618296
"R3388_YZ_27",0.19171186224371,0.297832207141765,0.0731916726582641,0.101963544044939,0.19171186224371,0.297832207141765,0.186561392796686,0.0524798581520299
"R3388_YZ_28",0.24833754941869,0.197634331340319,0.272257496947297,0.100964988650041,0.24833754941869,0.197634331340319,0.240772119053327,0.238758095805567
"R3388_YZ_29",0.126788377052278,0.261097781074472,0.0211224022065332,0.202086958261255,0.126788377052278,0.261097781074472,0.140490537388514,0.0285817818378056
"R3388_YZ_30",0.221257052793218,0.167537625689503,0.224917337997113,0.0802395858036731,0.221257052793218,0.167537625689503,0.222056672563649,0.161006429554412
"R3388_YZ_31",0.0450586843344149,0.0665216080085712,0,0.0576043578180814,0.0450586843344149,0.0665216080085712,0.0390611349786236,0
"R3388_YZ_32",0.140997973168804,0.15526305579403,0.0783361425699225,0.0707207723604625,0.140997973168804,0.15526305579403,0.149162317849988,0.0676797021563042
"R3388_YZ_33",0.0436649648183793,0.123076279784147,0,0.0498878807001508,0.0436649648183793,0.123076279784147,0.0331268947383146,0
"R3388_YZ_34",0.208193235168738,0.303900847714207,0.0319642948403454,0.0900828554792907,0.208193235168738,0.303900847714207,0.218516335132855,0.0591567561121035
"R3388_YZ_35",0.0604005939706192,0.119282190101403,0,0.0432938429660445,0.0604005939706192,0.119282190101403,0.0528299056291409,0
"R3388_YZ_36",0.0621437392526867,0.08011848859617,0,0.0543400645705246,0.0621437392526867,0.08011848859617,0.0679053782096574,0
"R3388_YZ_37",0.215251706676402,0.200406544977369,0.210064520733403,0.103319498071564,0.215251706676402,0.200406544977369,0.220412695187625,0.0887652198555436
"R3388_YZ_38",0.149490990433759,0.292368497783798,0.0579693939376516,0.0901583252174019,0.149490990433759,0.292368497783798,0.152933983804774,0.0151238197814671
"R3388_YZ_39",0.126673920746123,0.217427171114184,0.0199356579511927,0.0708988610152038,0.126673920746123,0.217427171114184,0.116100887493468,0.0188467179608591
"R3388_YZ_40",0.223421660755984,0.326683438212416,0.167843486210631,0.0966451231340063,0.223421660755984,0.326683438212416,0.205433337123065,0.188818586833514
"R3388_YZ_41",0.0965127174997962,0.225721857304384,0.0218206355271529,0.0661181485011079,0.0965127174997962,0.225721857304384,0.110886863185152,0
"R3388_YZ_42",0.0980207357718744,0.130814559451885,0,0.0670163682314744,0.0980207357718744,0.130814559451885,0.0952100241276724,0
"R3388_YZ_43",0.137895476349914,0.174077211456385,0.0475839698698985,0.0982845239950895,0.137895476349914,0.174077211456385,0.132976656975353,0.0786001578556298
"R3388_YZ_44",0.385719815289999,0.269451362858785,0.280722084757197,0.109622455759205,0.385719815289999,0.269451362858785,0.408021529297294,0.228744743976687
"R3388_YZ_47",0.111251710407958,0.165489209623421,0.0124837136422136,0.0681606040934049,0.111251710407958,0.165489209623421,0.0919966521314562,0.00578212156000734
"R3388_YZ_48",0.0424947519709421,0.0674327544666629,0.0236380014683971,0.0611295860639675,0.0424947519709421,0.0674327544666629,0.0277044672683525,0.0497671672429073
"R3388_YZ_49",0.170279608517503,0.185175414802205,0.0565893038983239,0.0664564576462253,0.170279608517503,0.185175414802205,0.192458695651639,0.0191244741927474
"R3388_YZ_50",0.200158461841604,0.307782645924517,0.0885160759667724,0.0893488599016178,0.200158461841604,0.307782645924517,0.206733159820485,0.0538101961436147
"R3388_YZ_51",0.329517535560601,0.277486402300322,0.184119831342012,0.0981875288987112,0.329517535560601,0.277486402300322,0.344047265608761,0.145062619870384
"R3388_YZ_52",0.290183494539925,0.212906916154066,0.259331429910578,0.100567644528984,0.290183494539925,0.212906916154066,0.287197202132619,0.219453174782812
"R3388_YZ_54",0.0532260628438049,0.140498479696748,0,0.0573394338237533,0.0532260628438049,0.140498479696748,0.046739497135728,0
"R3388_YZ_55",0.194830264348309,0.124979894394325,0.170393540682249,0.0790185283192731,0.194830264348309,0.124979894394325,0.204095272810853,0.162550266045576
"R3388_YZ_57",0.218176829405782,0.222076252875993,0.135700111161864,0.0874972939791596,0.218176829405782,0.222076252875993,0.205587465123834,0.0943151364490603
"R3388_YZ_58",0.199628949701331,0.208759773476775,0.092936016867151,0.0766863767399955,0.199628949701331,0.208759773476775,0.186736902269314,0.174068486281355
"R3388_YZ_60",0.111668183603377,0.194766117126155,0.00539468731970358,0.0757311998814348,0.111668183603377,0.194766117126155,0.0951254800389296,0
"R3388_YZ_61",0.106623661203611,0.111451012846081,0.0762312557567985,0.0678843458716991,0.106623661203611,0.111451012846081,0.0931203515136964,0.0770859711070885
"R3388_YZ_62",0.157064967601108,0.208785127058911,0.0240114801371671,0.0673058878180555,0.157064967601108,0.208785127058911,0.159612509099668,0.0237032881531102
"R4163_YZ_1",0.330896924608147,0.310496930507239,0.244596360015686,0.122244935250974,0.330896924608147,0.310496930507239,0.290346169225088,0.241732740443512
"R4163_YZ_2",0.156540380888996,0.323388282728803,0.155862019554047,0.112542669139604,0.156540380888996,0.323388282728803,0.148036992209669,0.164155218830889
