"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","p53","PI3K","TGFb","TNFa","Trail","VEGF","WNT"
"R3388_YZ_1",3784.54164384497,179.521948971412,2364.8603563023,6711.1443642966,7301.81087048024,1619.49627747666,7899.11623857272,4307.78614880623,-2939.42834562526,2995.78636747013,7867.67233795993,137.39083762281,-71.3727974633312,596.105840732828
"R3388_YZ_2",3728.67945250443,134.985519223704,2166.81950285362,6442.76832653659,7522.52571155083,1553.46666531446,7538.53943435467,4087.38352033514,-2986.18495136796,2973.85308647628,7480.00570511866,148.039197391936,-56.8575145257422,562.959035147405
"R3388_YZ_3",3854.09214922201,221.762451504867,2307.67063706132,6609.835473007,6973.80975292315,1740.57031996216,7708.75317675816,4243.04649786603,-2908.60837537348,3040.57174575993,7671.25046051349,142.775762668982,-51.613632751138,649.614682155478
"R3388_YZ_4",3667.08772065408,187.545902523458,2174.25671979503,6398.15869381782,7409.96416190384,1592.48805867174,7319.13656201247,4262.55095556648,-3030.06515352101,2695.64571868878,7267.49998916823,112.698269802415,36.9459131927963,544.959435861394
"R3388_YZ_5",3672.28619039225,226.793902986517,2344.59434843546,6473.07445215295,6769.93808536003,1576.05718620241,7690.31847056048,4215.36432947059,-2951.24841843812,2981.19252228535,7707.1816314689,139.78372836689,-114.956635614253,574.576813541395
"R3388_YZ_6",3739.07385649199,287.809147402419,2141.10126316477,6470.75851543617,7388.63927993302,1809.07044222702,7450.83740284992,4181.75822737979,-2853.3194701974,2732.06878807156,7470.07916130725,105.829365507569,-3.59166710851381,547.549046628733
"R3388_YZ_7",3817.31152231932,260.607992029659,2225.81922224926,6595.64877677311,7286.88704484005,1764.22979653485,8435.12997804535,4087.00063661522,-2880.57210058183,3027.04294760259,8305.11921078998,136.285362572148,-15.7839753906434,605.39828296045
"R3388_YZ_9",3700.72844158874,206.474594982509,2224.09774512509,6410.26610867038,7419.24631029275,1627.54719783627,8091.86764776524,4153.61495993476,-2886.83602371922,2940.41007116965,7966.71656277028,131.694087627153,-105.835299204002,606.672218761994
"R3388_YZ_10",3772.92964786177,180.068040851372,2281.50718728138,6526.13582974829,6902.769970416,1671.08610825116,7417.91780962367,4209.68193749486,-2955.5536091711,2948.02858770265,7469.72211826069,151.032173172326,-74.9305688416645,587.391284752827
"R3388_YZ_11",3806.45001726137,141.674566269165,2265.62554274587,6408.65863637137,6739.57470701313,1523.20307211425,7273.55514349196,4206.93694529455,-3023.3395057245,2824.56349743988,7297.13427085607,122.629181048489,-71.1500328138142,582.784099516699
"R3388_YZ_12",3609.79898426669,373.510622668752,2282.04065816809,6829.49941558161,8535.513568144,1769.200409979,8255.471972659,4123.16114357582,-2969.34872163291,3302.52582456685,8367.013497428,130.032779552592,74.0813419388142,597.773474127045
"R3388_YZ_13",3748.14333924167,256.273702502537,2319.66354534332,6602.74875941163,7145.18445434407,1680.32688906841,7591.65347464943,4299.97076207162,-2977.75874832662,2751.84704961872,7619.10235159933,129.163209781248,-63.0982953794822,571.923142749229
"R3388_YZ_14",3548.65504036881,191.189301863271,2083.73334330237,6441.66591281712,7533.41822445113,1671.56374557357,7712.11987157969,4050.52591707912,-2958.89397368153,2660.04914328069,7763.41210864955,131.018980419486,51.8240873061415,542.364094450858
"R3388_YZ_15",3784.60618174702,164.308641410872,2224.39258938049,6436.45980760936,6797.31092157632,1674.21120651952,7118.12920300511,4070.79335246112,-2892.62039709424,2888.6068164895,7112.19755104057,106.388634264989,7.90184194555588,540.031113311077
"R3388_YZ_16",3805.7172753983,214.256176093602,2354.37117759102,6559.89073340531,7294.84080129793,1704.31563941496,7627.57785981266,4309.10656401829,-2912.04680106562,2842.75518788994,7636.61422056121,145.726542152155,-88.9736304832201,577.795440649074
"R3388_YZ_17",3597.45284124692,220.215443601043,2277.4574756599,6888.03541939301,7614.25733563626,1646.2456471641,8067.0631410048,4203.34198624182,-2905.43183508964,3003.32779899203,8064.92387870476,143.208251341092,-49.8226721929621,595.452067092349
"R3388_YZ_19",3659.1461379667,300.803098882482,2375.24529910648,6680.65103906628,6952.81220978167,1689.28366161489,7870.5533205361,4182.75248030018,-2918.80583125485,2967.99969543215,7895.88812792703,129.917100442645,-105.583001918828,583.882529184511
"R3388_YZ_20",3632.97208159708,322.742260532913,2193.92729134591,6323.83204013729,7850.48120410857,1826.00381127229,7383.70253818379,4213.80327291947,-2818.48896407427,2965.69845718617,7378.37085995697,118.514815133151,49.0265653782128,554.904936319429
"R3388_YZ_21",3805.7109492314,183.16294200387,2209.34173222597,6623.54669891583,7512.08947307728,1636.73324915145,7443.09252860037,4172.02051289601,-2963.51871115446,2926.28831726586,7423.7888358772,137.480893678827,-38.722491357248,581.426483753317
"R3388_YZ_23",3768.67783895768,316.597803933451,2276.18416385375,6327.09271409311,7322.39704868497,1787.18819230016,7795.69525010261,4125.7060369838,-2978.08083931835,2985.01938931534,7791.78429314825,118.223283039643,-8.10993725883068,547.107629211669
"R3388_YZ_24",3843.44007630026,275.019053874218,2384.52654020781,7101.06149424279,7358.26048634864,1712.2497844961,7774.9424537294,4376.91181417385,-3036.76615202466,2967.37289863983,7901.15463675236,152.544065216127,-108.201373347234,592.20438713645
"R3388_YZ_25",3800.19592294702,251.042221485968,2259.60605597753,6569.45537876755,7113.30875803624,1738.78844755251,8598.5570226394,4150.00964728994,-2801.45123497514,2964.45923240004,8478.6120282742,146.563476042438,-30.8691105053129,617.82415445839
"R3388_YZ_26",3610.57274449463,159.882265494645,2388.72301029269,7247.67838638675,7003.16762981251,1617.97439875698,8033.43642491135,4119.37959174407,-2928.19769039841,3007.37822455303,8075.8788379421,156.986847958935,-46.1280648634313,580.544973947147
"R3388_YZ_27",3810.49694025539,260.709800833374,2145.48154165103,6371.00894932856,7271.96630550036,1859.14704995947,7864.9492050518,4162.65099403512,-2844.08161424163,2770.45767366066,7805.83989236239,148.006840061581,-66.118192792928,605.256626098403
"R3388_YZ_28",3650.33091846447,270.435882912185,2279.83567024974,6783.61907525076,7550.94778456173,1701.23939474804,7806.79725627875,4098.84901104054,-2937.2690322074,2940.99389459895,7810.11013372628,138.581150020694,21.2871342057642,571.272696891429
"R3388_YZ_29",3755.25926518996,317.017556562512,2305.8167891782,6573.03370244425,7480.71643415358,1833.78339667136,7653.97610341628,4330.31343909743,-2922.68141876471,2864.02336419131,7761.36218984847,123.917125046125,-54.2380830829681,572.88351138041
"R3388_YZ_30",3721.35813815628,283.366260861218,2332.76309653591,6875.1005767283,7465.64859515042,1764.60202860442,7924.47284682431,4325.19947554341,-2863.92701299232,3085.97681646667,8071.65717507863,151.015715850566,-68.8479408750374,606.431852986681
"R3388_YZ_31",3562.12227717144,200.321397260918,2229.63500542742,6893.57644000222,7045.19722299543,1655.63004299763,7347.78155262618,4117.6242841514,-2882.11424331683,3113.94726927201,7395.70199381711,134.623224753337,-48.2235278295175,590.145452787048
"R3388_YZ_32",3786.94731942043,196.425360687875,2263.18013252498,6686.87520591637,7208.10229910829,1611.27952708407,7675.39052720788,4354.41115933225,-2917.4738039368,2993.09271553906,7723.09238557875,143.637168089179,-29.0197941667872,630.160174038305
"R3388_YZ_33",3710.33388581968,266.039313627933,2145.63952108353,6729.79241707965,6793.36066105893,1821.63786691889,7265.95500800636,4203.85035471048,-2936.59369336527,2973.38021464365,7383.63708567038,121.891577098058,-31.5876194055908,558.322118066255
"R3388_YZ_34",3772.48522398475,165.614952897188,2165.5532827418,6693.88008816718,7280.00692702583,1634.04981954718,7411.52393098027,4181.03539182507,-2948.98676604646,2939.49115215179,7451.47839238747,142.918003622278,-29.7674836280834,587.033834936119
"R3388_YZ_35",3596.54756880791,220.011781822706,2316.4631960809,6368.57665200558,7528.61438143337,1709.61527155619,8009.5270484654,4041.73123081356,-2862.65560654564,3077.9587043801,7835.16447949719,164.017108898346,-61.3005158279111,571.579974911528
"R3388_YZ_36",3666.20437447913,329.162019961503,2308.46268158379,6911.95320992482,6806.6652981516,1853.84581180808,7388.55504738316,4242.26058736563,-2901.68507110228,3063.75721322461,7484.86560459927,122.625145329835,40.8655861288791,593.68608010817
"R3388_YZ_37",3745.67141828652,213.49741390423,2249.90719583082,6809.655842406,7080.40589071765,1681.54135408965,8013.86852516508,4084.5027510221,-2905.6219222058,3030.03385203392,8118.19762968052,137.684046963561,-19.5752430018025,629.305094497086
"R3388_YZ_38",3688.05612060399,187.023191325995,2235.94213016339,6620.21586746444,7837.65606492362,1622.33757964042,7790.92543294108,4137.44510512045,-2932.67306344452,2810.41181552358,7763.11041676097,141.677737133154,-87.2625998388999,618.602203466931
