"","LP.01.01","LP.01.02","LP.01.03","LP.01.04","LP.01.10","LP.01.12","LP.01.14","LP.01.16","LP.01.18","LP.01.19","LP.01.20","LP.01.22","LP.01.24","LP.01.25","LP.01.28","LP.01.31","LP.01.35","LP.01.40","LP.01.42","LP.01.46","LP.01.58","LP.01.61","LP.01.66","LP.01.67","LP.01.68","Test.FFPE.01","Test.FFPE.03","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.08","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_12","R3388_YZ_13","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_60","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28"
"ADNP",1.98056692409377,1.94970468508564,1.964306649846,1.54027807519387,1.40948857652897,2.41163719768051,1.7454302751836,1.98056044271341,1.53307896348119,1.85090094150719,1.6765397719454,0.889845218851293,2.43938834885661,2.05838702074599,2.68376332284392,1.71491297224572,1.96681869852911,0.572942113946735,0.742505054356311,1.21387038722275,1.61216696978405,0.629937335583774,2.08821620183083,2.59705817015737,2.0409798891006,1.34790656025271,3.13219740674333,1.89866241481189,1.70646846959864,1.07303602641302,1.33237844950352,1.42003217534398,2.29503669955715,1.41651767128616,1.80826541408994,1.363880633746,0.885260869568223,1.13591272939913,0.914265094111252,1.75566798869881,3.04408175703529,0.841525223586555,0.822427042624821,1.81142564006566,2.49504434429233,2.08899489423617,0.946811029190233,2.11164086517239,2.26344911518265,1.32028415043574,0.551755573923085,1.87399654081645,1.90299301871352,1.86332565331707,1.09372660580529,1.35094813426619,2.10535291559456,1.91274352721329,1.4560022510778,1.86069565656193,1.49634088198109,1.41892518200364,1.10116573396558,2.2743907882374,1.43406802356579,1.0279964958467,1.36290907457956,0.602014726513473,1.63346494167081,1.74589575474169,1.70345089946935,2.43844073651569,1.75605964741898,2.11533092496852,1.68865213795402,2.57053352031023,1.63858166965423,0.876172713559143,1.90270286667725,2.00720444060467,2.15138314338675,1.90586389273261,1.38256244171992,1.27532904251238,1.4722227448702,1.4322017439961,2.4244293608666,0.813239089604653,1.18051010597384,1.75097909223515,1.06115975552477,1.10467200802002,1.87224921168263,1.53280989077495,2.00805963339091,1.70666760553263,1.29738748647163
"AHR",3.740574995125,3.99502851217856,4.2725232018667,4.2827947105151,4.12454994451459,4.8418018467339,4.51562987248948,4.89769683880564,3.77338425180404,4.18758279257939,4.19775727391051,2.49747379425435,4.64523133012524,4.12552434997995,4.70921345267529,3.62595023841782,4.96453946619336,2.74033125649688,4.38157182804386,4.02429964232583,4.19232616810262,2.88747537355847,4.2259306569227,4.74615078344334,4.81519734938562,4.23762170444267,4.12897475541796,4.55177644679245,3.87152628713775,3.40851482859137,3.68320387073052,5.2782617473693,4.16989178334682,4.81618526107849,2.58084082166218,3.59811462626247,3.35523825650953,4.90842882626621,4.08258230469911,4.67094021898379,3.63058707815569,3.5253001135803,3.74750740974208,4.09334659322334,5.22433974675918,3.87688847832758,3.17059922148778,4.05366021074596,3.97815430550577,4.97215502762295,4.71219445629619,3.94753649738283,3.57960585292465,3.50178828781044,4.71233492815543,4.76284918061057,4.35570232685891,3.50411433223566,5.36587768415495,4.50008305027226,4.56189651058366,3.86795737942704,3.87146996483858,2.28908537588871,4.03703264806314,3.45066267399231,3.98495760625911,3.46862058204114,4.29402890955188,4.82687506689446,4.20512561754707,4.06359369963996,3.00509011045327,4.35770965044306,4.40298534982513,3.24929939968429,4.1050849731588,3.42515787233038,4.3166079879914,4.95361657944344,4.27583763396042,3.58391708940238,3.59036754692545,3.1099902089079,2.77734519314931,3.8904169993406,3.95304792453654,3.67642250113647,3.88641641310959,4.37561629198242,4.39358564935084,4.36722947955641,5.9697567532706,3.72137282982236,4.77516709280529,4.21709897968498,3.65586171857335
"AR",4.76367547755996,4.7831221803835,4.42978265013966,4.72390918577336,3.8897013018768,3.74473573323543,3.76148923862345,3.5698238751082,4.04198106089878,4.55851571604881,4.22890200160032,4.58345175758658,4.38931191473681,4.13958699571065,4.83950982356384,4.29399465394875,3.59022957531837,3.74843424856411,4.17238699547294,4.98168244737326,4.12630341347707,3.83691482155225,3.95260706509315,4.32795732724238,3.99054467864397,4.54181782406271,3.99053726815516,3.81870735158364,3.66040571039178,4.50355243534249,4.61069871283195,3.78775648222717,3.93495211400513,4.08111565472301,4.68208668645592,4.12131061862578,4.0823637595933,4.4049344617252,4.19307544309419,3.89265316939133,4.40185847561813,4.4518149280119,3.9779457282985,4.5986315292355,3.80538562677323,3.93080403024208,5.069089200051,4.5643640718915,4.76406407074694,3.53981427532413,3.28421338061454,4.13934638112205,4.3929537113829,3.87250885807707,3.69210307719395,4.06463881057237,4.41194347480028,4.63446734541578,3.11209075163988,4.0594350042892,4.35324341776551,4.16801675457445,4.22793209772606,3.96772529381345,3.99121839616989,3.54756803644665,4.34131329025296,3.79168928755592,4.80392120714474,4.81866715156105,4.41770935026635,4.17699937292755,4.52057745647264,4.25252557397894,4.19883046313541,4.09566059055702,5.27127791635954,4.94241004305964,3.8902413422332,3.43588939206847,4.1274111522025,4.16718307315874,3.79952133444112,3.99869623393362,4.20804611047266,4.80558966190326,2.64873717546505,4.30943306581914,4.21455405147737,4.74701466990211,4.04140949379003,5.14706970464113,3.37465550706923,4.67801390494059,4.13089846206499,4.82514997015134,4.66259962311601
"ARID2",6.44851512053453,6.23047045684941,6.34894259400586,6.413497782025,6.29742214238261,6.09670825461324,6.56057520366006,6.54993297725155,5.9914762241896,6.56045740559006,6.5668047022172,6.3476406475787,5.92316571137006,6.18434786753478,5.7294872129095,6.60049125802611,6.50547166609586,6.07204276565235,6.94495450087866,6.36997589409399,5.90541154436517,6.55536164744638,6.5526097883596,6.28350047741807,6.53261220970525,6.85836048008161,5.49092337933037,6.64454801196411,6.20843995460394,6.03323184119141,6.68589205424274,6.58335992208051,6.01535580974739,6.59241084575167,6.20856200235063,6.28913097145405,6.57040468846596,6.20656601910625,6.30520980388928,6.78162653717829,4.17477611994901,6.31092072318857,6.73104176916964,6.76074378845044,6.99386392526433,5.74954036246288,5.52992754606654,6.23811819104682,6.03532704026727,7.08803202915955,6.59643022060485,6.55980718527786,5.44257017733217,6.42467970172257,6.65223188101322,6.56829098336278,7.02145693235465,6.79250483013268,6.65495151659466,5.7735913412424,6.25097608420179,6.43649099587263,6.8544740210348,5.68209920248772,6.93420019915365,7.05006564395435,6.99630889869151,5.98585342872758,7.00444741625347,6.19033208666071,6.13097571844702,6.25681393924733,5.66808715176596,5.65359677402297,6.37995979953704,4.91004432521782,5.59725419092944,6.64963654306801,6.82689253947592,6.32716382160532,6.27640030380829,6.08635660121617,6.83288179625201,5.86699704110319,6.2715031010184,5.91240536139936,6.52709988566403,6.51478965128223,5.9563205602026,6.8288641235452,6.62105304190723,5.90069264498555,6.35406665477685,6.52970989540909,5.97943518746264,6.34030542935499,6.46216268789498
"ARID3A",3.84764072677091,3.54096599442416,3.51381006833307,3.25585624159962,3.08979584482642,3.70706056070189,3.82725938030538,3.5644870194565,3.49551036680329,3.54176022528215,3.2931740109383,2.32435307022249,3.84401676566548,3.86161022428867,3.6659973576649,3.21871351305304,3.75034204906956,3.87884221944165,2.65001787512574,3.4109581263989,3.59580842335655,2.29934570637325,4.14967407055718,3.76956677475181,3.6406453553311,3.57165405284408,3.99536177953146,3.39125210616127,4.21685715334976,2.41314102351502,2.96052854882276,2.7986665463922,4.29459636158053,2.99618458140177,3.51215403209342,3.34066778664123,2.90868306741621,3.08321401085447,3.16927064812503,3.07673738827943,4.14402107674723,2.90723372478979,2.01545095560866,2.99293703286869,4.1896773526254,4.20562506871393,3.06909582354598,3.65772803462592,4.05441971091054,2.82662154891635,3.66100918951529,3.37747768998364,4.42071317027347,3.1501869779003,3.20682344316111,2.61419789104469,3.26260254119291,3.12607052057936,3.70120207526804,3.28718599324966,3.95064328270321,3.61222605133898,3.17798502559577,4.37727473217024,3.37609700625536,2.52001714281888,2.87942007656938,3.58134814616629,3.34151741024847,2.95974445698654,4.05919697705768,4.47184043432916,3.73707698661107,4.15992164937598,3.45639050868479,4.42797526154634,3.66362205083036,3.02369402036681,3.77050728986236,3.73881006438592,3.54889832516425,2.80180365499313,4.07967852350499,3.89126391973901,3.25778493583447,3.5744518635653,4.94821101171413,2.66832703449703,2.8636696761892,3.55994488941833,3.35306444144611,3.3367471809904,3.30361319205815,3.35698769661723,4.09486548478882,2.23368988321592,3.88831428918956
"ARNT",6.447192305903,6.46700348124665,6.36877974864592,5.71721091799,6.64545326768082,6.90456734551673,6.38489966507322,6.31914269297621,5.41825158668086,6.05218485582188,6.60436044181814,5.26448325598741,6.23959919601127,6.14191862840919,6.5396543995929,5.87250020996161,6.73647167340907,6.3533050529601,6.18696627617054,5.6596511205256,6.21848808724136,5.85809274169758,6.12016127758709,7.11698580388505,6.56427174379087,6.40696267904141,5.67673587341111,6.24359658736194,5.77738029222595,5.91671157178814,6.78562174392436,7.62157970390573,6.34013624202667,6.68028400175896,4.99032034370535,5.93044355072099,6.26495994927278,6.7851260426116,5.58262063319285,7.31797273635458,4.47981145645507,5.61833484814711,6.93109010672406,6.60021827575653,7.28738464693189,5.36036337386964,5.14157164385862,6.48721546376411,6.55391588623941,7.03099657726437,7.14828168156242,6.21425640751028,5.35562043375405,5.49159830747728,6.89949499173967,7.11997599856931,6.57179077630252,6.33303155492592,6.465715042734,6.32834698082461,6.70079645582576,5.87358200734806,5.95722184964525,4.4761273026114,6.25366118118559,5.66893983324613,5.88236428023066,5.8637498186012,6.68444878674938,6.53148011833329,5.67517786678473,5.89955371660873,4.71517837399697,5.92423162687048,6.15217315563982,5.1966346918521,5.81232568318242,6.18701848046807,6.86345482798301,6.9151833408068,6.49432902293311,5.80565839186425,6.05598650257235,4.84799843657786,5.45289086770532,6.46280797704856,5.06365175012264,6.34213805835874,5.85679557953505,6.6573302960412,7.04910360973966,6.36607716478578,7.24646514842783,6.57295511155303,6.87194672394584,7.49039987762152,5.32875253179192
"ARNTL",1.55629048609499,1.68140347726909,1.32526037321737,0.965851090117743,0.963449194897345,1.38482490747238,0.452653232557379,0.71789445173259,0.594121464836679,1.43788751519515,1.26186703636378,0.540126005448929,1.62310137295297,1.28962871875928,1.58236884981416,0.724548623949244,0.650582468565311,-0.00335277719747955,0.232157157699655,1.40874564640267,0.292877820099535,1.23160733816209,-0.121050110562756,1.76052254451158,1.04433701234699,0.877053438742756,1.4894687703753,0.904354746892817,0.800166448902617,1.18125462373006,0.767221624873718,1.36138245542274,1.04410823453298,0.837959246282752,0.13882543388932,0.253478099744433,1.58425846074398,1.03350758946144,0.454494668736618,1.27292826767284,1.85009610697794,0.478304387961432,1.4479672677568,1.16892556478925,0.785257264384761,0.268745927937407,0.421675117890605,0.726001577776768,1.80805318058652,1.2830200056624,0.543110257498346,0.856212179967376,1.10055580731569,1.23181217199998,0.578658947993896,0.362312131099963,1.358486543993,0.912782273417109,0.553181863297016,1.07703447285013,0.322698238004744,0.726775896207117,0.973875403625037,1.22697575027316,1.36181994814498,1.06135383294661,0.853919624082794,0.257639763799311,1.64362233772839,0.539378275990805,0.961644549962559,0.762056007425114,0.638170114842444,1.11935741416561,1.68002269385814,0.358784333637492,0.931662171397436,0.379310110887621,1.28447733808376,0.996367738633159,1.55085712471341,2.06830058435928,0.853463854210073,0.400502424297694,0.396095207296948,0.710191418419373,1.22299613862017,1.28839116999903,0.981890467380904,0.544624839311746,0.432694844591899,0.60648863060766,1.18852536436813,1.10036085099797,0.837669116940792,0.8962311008126,0.841279609183162
"ASCL1",2.25561661690282,2.02165294474423,1.77346963909,1.46165932803548,1.89329245152845,2.13216229153387,1.9702587767246,1.62575241742953,1.46359651264577,1.6351855103947,4.30135338306005,2.14424986123063,1.74479716540706,1.91317025395598,2.35633295656622,2.16932858785933,1.55284431257387,1.09395890057083,0.888226925356494,2.38745663636182,1.52449842037008,1.65393678735789,2.04023525792661,2.17898854904339,1.80820436738604,1.95020919170016,1.93318019224547,1.35885518859773,1.11731977629731,1.86224536257738,3.31861783213205,2.03723997071077,1.8730603490568,1.27642310027403,2.0720731040921,2.60799643531903,2.96891776333519,0.91364658712617,0.917345858656539,2.33209418103083,2.57550580874312,1.82992279630485,1.51607863593086,1.63838958085679,2.62735387279203,2.21174297383894,1.76743909673708,2.17960904877578,2.46036472179484,1.0757990932711,0.768116453483884,1.24615494503095,1.82674534420797,1.99387922461905,2.11740339003781,1.87916958571218,3.32917764262094,2.08389804503662,1.63380916436386,2.50027870880434,1.51572516353344,1.38698448542575,1.22416481186514,1.17693256077389,1.42225241887829,2.08021499773355,1.91802192698925,1.48343882753472,2.18830304199086,2.22598854105842,2.08057013738217,2.38359204778106,2.1566322969018,1.9167728842,1.77248393654193,2.31284820422192,1.93711194227399,1.96752466604084,2.03567982821855,1.85621261836222,2.21331275434376,2.52850073638134,1.68039268861313,1.45060957656534,1.73584581372107,1.78603801103867,2.52946188717426,1.63818060209687,2.88972824760188,1.82320842803671,1.46517343712491,2.36138598563214,1.57758949425978,1.51446967681899,1.67025993180666,1.7477298180749,2.03158144235176
"ATF1",-0.37142783324284,0.110283758021893,-0.449420577276723,0.204739597349159,-0.127942606928522,-0.372261135499712,0.52505142461224,0.488818123415878,0.172129923276584,-0.168775340269865,0.968143021531457,-0.976085682627819,0.576570332839931,0.0434286410121929,-0.0553521896826688,-0.129228039022685,-0.0998359341762698,0.406374416433684,0.804644077068775,0.290480671805945,0.30134642749864,0.232447165261708,0.150456907109208,0.0448460245184753,0.00430247324466272,0.394962561551093,-0.312674534397,-1.32021310289379,0.31900474365106,-0.479801082951834,0.50170543305954,-0.427054947155441,-0.152644279610636,-0.129916703750123,-0.242064358378562,-0.009340742995033,0.279235234819019,0.180982215907608,0.00931841713232739,-0.0665027345431345,-0.316346563675569,-0.018899085734039,-1.19390202093409,0.0412285719102793,0.134846580153663,1.01332451685466,-0.526662711979483,0.0737598043286475,-0.0406471265912925,0.418509326835467,0.164469637130949,0.286448559377434,-0.0887794053825742,0.572125173375042,0.27811313070106,0.180798088167482,-0.55542200876765,-0.2926746241282,0.167410135937338,-0.0327423404326409,0.395301722713617,0.617524127747057,0.0640447745301021,-0.0504227737155612,-0.259869784063545,0.0501416919006812,0.167108546058338,-0.0839447764250437,-0.246163284082194,1.18644681102863,0.504180704917761,0.0106871322209579,0.441400944833882,0.397852436530848,0.339798331893816,-0.0328958670349845,0.174702263377443,0.38047375096914,-0.286463677055508,0.123642701876678,-0.439367078071684,-0.293975075247271,0.706454664231041,0.662585463397904,0.156416407234729,0.588904736927397,-0.267351634009003,-0.104525925822164,-0.0463556599363997,0.185108153279085,-0.0220086675483052,-0.0654057576486456,0.0736306716514461,0.000768462269990159,0.690729199310245,-0.866162164281044,0.290948460648592
"ATF2",0.936284662748126,1.48992698357236,1.64205467151318,2.02504384449246,0.888886149793163,1.63875876578452,1.32385034943695,1.35227364183034,1.29855232436554,1.60161240374015,1.05475402401023,0.442236201757524,1.71335440406525,1.44679891921033,1.27162796138461,0.832643445115109,1.12578420932841,1.14840077813882,1.82139889742915,1.90589784655274,1.74817648122619,1.66839994769073,0.0535717259329198,2.40685898613411,0.88795109582504,1.96860924412853,2.37518186843965,0.943742846476016,1.9909474196415,0.137988656569101,1.06783898593141,2.01811449316362,1.03383659049346,1.8957541236939,1.05043682189752,0.625751079824907,0.896607224638715,1.96549192388063,0.755464260012443,1.0030781579095,2.55916622000207,1.41656719908254,0.778029811118603,2.02160590812458,0.634944410072508,1.11966244947291,0.434771891243293,1.50576171614955,1.65659822088545,2.32100035081179,1.89807587159271,1.40179546386661,0.738779940060359,1.49076500769559,0.458725226892465,1.1003096411245,1.36441318753237,0.791655104435613,2.38209011876851,2.44395731266781,1.1967537343772,0.91818260470769,1.24819224612882,-0.453236532636524,1.23210729551883,1.26176697132609,1.23052770193781,0.181684776301203,0.740771140786256,2.16346713653303,1.15704329942845,1.71273589796743,0.823704830148581,2.54094043234342,2.05028016824187,0.357817526629651,2.29643491761955,1.25040367927853,1.46302187486414,0.836471522118581,1.90866432413527,0.793299699538809,1.55192065331144,1.18667740478396,0.662364616293877,1.68663245199482,1.4312208511691,0.0400769062572795,0.578293776725529,1.68429413047967,2.08823396854725,1.81087337694505,1.72952947999398,0.866796732564885,2.15774858865245,1.34890211327661,1.038997576382
