"","Patient1","Patient10","Patient100","Patient102","Patient105","Patient106","Patient107","Patient108","Patient11","Patient112","Patient116","Patient117","Patient121","Patient125","Patient126","Patient127","Patient13","Patient130","Patient131","Patient132","Patient133","Patient134","Patient135","Patient137","Patient14","Patient140","Patient141","Patient142","Patient143","Patient144","Patient145","Patient146","Patient147","Patient148","Patient149","Patient15","Patient150","Patient154","Patient155","Patient156","Patient158","Patient159","Patient162","Patient163","Patient165","Patient166","Patient167","Patient168","Patient169","Patient17","Patient170","Patient172","Patient173","Patient179","Patient18","Patient181","Patient183","Patient184","Patient185","Patient187","Patient188","Patient189","Patient191","Patient193","Patient195","Patient196","Patient197","Patient20","Patient200","Patient201","Patient203","Patient204","Patient205","Patient206","Patient21","Patient22","Patient23","Patient24","Patient25","Patient27","Patient30","Patient31","Patient32","Patient33","Patient34","Patient35","Patient36","Patient37","Patient38","Patient4","Patient40","Patient42","Patient44","Patient45","Patient47","Patient48","Patient51","Patient56","Patient58","Patient6","Patient61","Patient62","Patient63","Patient67","Patient7","Patient72","Patient73","Patient75","Patient77","Patient78","Patient79","Patient8","Patient82","Patient83","Patient86","Patient87","Patient9","Patient94","Patient96","Patient98","Patient99"
"Cluster 1",0.0560181684994831,-0.00165992529815163,-0.117142091346184,-0.0736574078166059,0.10595983063801,0.0350225427973935,0.289297607445575,0.247469491625489,-0.0473116717863869,-0.083739506111664,0.00315784603856543,-0.0657923106033414,-0.0899076335556257,-0.0605027350896612,-0.0345952113871945,-0.0667019716091638,-0.044293501217875,-0.00234775940367265,0.153080480434506,-0.0490066803271961,0.0117632933748253,-0.000683284324203127,0.0536874524746175,-0.0635495830907104,0.0533754223864291,0.0110211970954181,0.00192172753182509,0.0763468820017155,0.456697546227257,0.104894103136787,0.0387879452738481,-0.0197292955755521,0.00296919836933026,0.0229466786385864,-0.0535958031383534,0.0504758421114392,-0.00190227853568743,0.036599917841501,-0.0266857417724417,-0.0300581763719231,-0.034219468823839,-0.0547330087581275,0.0447433947184333,-0.00589071514282511,0.0481020275957267,-0.0145405523325052,-0.0413790507136266,0.0149676455319577,0.00287975889986262,-0.0736157693752776,-0.0199313523158725,-0.0228797488522662,-0.0221992523077703,0.0364178070232437,0.000269794300657835,-0.0164397290483446,0.127759956313305,-0.0258313136380278,0.0293598559913134,0.048517611212776,-0.0133791150622061,-0.069629793228636,-0.077120915990448,-0.0660347017178462,-0.0337959264582317,-0.0458647074376655,-0.0416417828787189,-0.0804540192538913,-0.0620597498597316,-0.0120284524326446,-0.0607065948114481,-0.0564675693120295,-0.0797401757659063,-0.069306172017405,0.000246873827325443,-0.0229897170478689,-0.0241051223547102,-0.055631303102844,-0.0216862408324389,0.0256050182776989,0.0501269166443045,-0.0085809934381826,0.0248741382413648,-0.000953915058973838,-0.00496445847715768,-0.114631627070257,0.0747744730058731,-0.0280780483757964,0.00934890235606969,0.00422717094236625,0.0509552110812422,-0.0291138853221806,-0.00113291290144051,-0.0660997732300008,0.0243817923658751,0.0194194026494317,0.0858788019444903,-0.0304337814037517,0.00205751442083952,-0.0183067122229876,0.3176552277387,-0.100299659776781,0.0803606780730795,0.0981249459947452,-0.0322675940624895,-0.0194034657136488,-0.0450037660543876,-0.0834403791988074,-0.00719859749052631,-0.0921657227334831,-0.0369948683446292,0.0291853011891792,0.0321299193627304,0.0251487382560513,-0.0456959365649086,-0.0311433540746617,-0.0518319402476516,0.0163921525814032,-0.0928748623028871,0.0081506964892565,-0.0457740576715652
"Cluster 10",-0.184820920562365,0.0894573953248287,0.192300485215274,0.0378107331673197,0.0160383817597333,0.00774513217525326,-0.210052982917836,0.0131795353023868,0.0848659064903911,-0.0788487717577556,-0.0189743181518708,-0.0414690852983295,-0.0821731727927373,0.158606862602913,0.0820295991215065,-0.138690479553397,0.245705393017622,-0.106535488996272,-0.133419733243295,0.0649371721426142,-0.0182719696959802,0.0937641926840534,-0.00845631673435022,0.139777964438357,0.0466475024811143,-0.0976445271409476,0.155409672185528,-0.052383514919462,-0.034160981581008,0.00522107314736441,-0.0272428015494468,0.0563802874376314,0.0961507347275063,-0.112691081762301,0.0814472408233088,-0.0188262847921269,0.0969874200360986,-0.0591195291829736,0.0785045058009388,0.0372925579486173,0.157990783531091,-0.0137632345538914,-0.0555419962476311,0.0509347199424431,0.0507713838280616,0.0689691181300528,-0.0981523417114812,-0.024695217130224,-0.0422034838648082,0.123813913507774,-0.126103647278166,-0.0532740072672482,-0.00971190577114737,-0.0603662996263934,-0.0032323087323806,-0.0187288747155897,-0.0256802802414767,-0.0337389535378549,-0.111550968144304,0.0283149342777312,0.111477487012132,0.0674656794630361,0.0388649650257973,0.0301272674952663,0.0275497421882375,-0.0973680979815186,0.0113726500761278,0.1314250543599,-0.0566700155233504,0.142933129279501,-0.0580182511324622,-0.0302018327453179,0.0995687769419658,0.0712100757064039,0.00765095192331814,-0.139608321372373,0.114101357880686,0.143647118025432,-0.102401243960963,-0.0462374663255341,-0.00200907656452342,-0.0759594489731111,-0.143009748662819,0.0461726148166364,-0.075624628380968,-0.151376416644544,-0.101896426651793,0.161721521347292,-0.0827982994433163,0.164074610301052,0.0175815300493928,0.0378208671610861,-0.0452027709258085,-0.108837452621888,-0.0482387843316476,-0.0423919058249144,-0.0349737579760186,-0.073488808951955,-0.0482240392037261,0.00536820867142998,-0.181819545548416,0.0583154389810519,-0.122416097679657,0.0703694357463348,-0.0562404933817984,0.0356857639021462,0.0106870157202773,-0.122485628708841,0.0808982263977074,0.0892834927468729,-0.0748537413145677,0.0160663250480737,-0.00875598316859455,-0.0980080921342082,0.167159875031225,-0.0870599957530468,-0.0345412647811715,0.0186849033546769,-0.0864636483346627,0.0889135135696811,0.110454564988309
"Cluster 2",-0.100738164589544,0.208547360994422,-0.0751169887428619,-0.129388327778663,0.0366612550139727,0.129607471339154,-0.100336150813053,-0.0594574388661973,0.0385488754106027,-0.0449091560808611,-0.00754607207782917,-0.169699066527831,-0.0340673864426858,-0.0166420262125606,-0.0675701269929019,-0.0627777043991077,0.200596493627128,0.0128113097902982,0.0766784712888219,-0.0148421323017356,0.0333345657215134,-0.0618158542972631,0.0762952762891109,0.00174966894258973,-0.0239308119726079,0.0922524330632989,0.00161567258225416,0.0287890573123199,-0.183769751649764,-0.00231837692324559,0.0334711272580796,0.0511516072498197,0.0651951659703357,0.0419358249522885,0.094774573793274,-0.0284234213527868,-0.0264689077768628,-0.212484460502451,0.0203806700348724,-0.0429218808671955,0.171329878796932,0.0618599854589779,-0.0539299723661303,0.027272300117438,0.130873498286599,0.0623251000171914,-0.0295594645405846,0.103631585709779,0.0834992610467864,-0.00536193336706666,0.0580990262345999,-0.142361758982521,0.0730404615127266,0.0670814267965472,0.0743028317146681,-0.0309496549825367,-0.105144059945043,-0.0476456733441398,0.0161948469975877,-0.0260232122620813,0.0869313949307398,-0.12839686944877,0.113256712426218,-0.121873200679252,0.113375580010512,0.0704501565793526,0.179881127004341,0.1085037512841,-0.0350161429695265,-0.0397798418065498,0.0277587676901434,0.0269049375782898,0.0555370053468143,-0.0762869426910352,0.0729831974177817,-0.0134653198801657,-0.041561419896413,-0.00395245953444239,-0.0696926220213328,0.0872393538584776,-0.0702896168410599,-0.0263755353308046,-0.0044068797187338,-0.241361017512276,-0.278956341936526,-0.134541909515646,-0.119455162239279,-0.0729669132957587,-0.0568251204025505,-0.07782911876987,0.181479390210329,0.087199268011281,-0.0549592480043862,0.0823248026544502,-0.0294651262398202,-0.0156456667470263,-0.0150202838144307,-0.0583490352227342,0.0341873440256538,0.0641244888990666,-0.137910804409197,0.067408305929673,0.0207476348438132,0.101574442653712,0.0682116636440979,-0.0903567995987883,0.0336564405746736,0.116031750581638,0.0343217404391658,0.0675812357484714,-0.104612229038402,-0.0960066442552682,-0.0118302832541968,-0.0618447029510649,-0.130887063089104,0.0809480492570213,0.10382469143031,0.13943904539501,-0.0817553387954395,-0.0331744883155638,0.0412607234343985
"Cluster 3",0.016371051280803,0.00232613715807892,-0.13350749805707,-0.0527597162072389,0.081962415341351,-0.0040910013402505,0.327863404714782,0.0588352911187442,0.0407178128874098,0.0350691359958834,-0.0630790011128369,-0.0467674128838841,0.0664622412329161,-0.1466225004919,-0.012296459681039,0.00291209008786952,0.0607282250848031,0.00174691304730648,-0.092017740563568,-0.122516530896338,0.0192566700506115,-0.112736430495773,0.000212434719249791,-0.0809109808446194,-0.118450475641033,0.0518285308131385,0.0626974242709224,-0.040869369053087,0.28195228628287,-0.0113843792066411,-0.072791691358122,0.0152053470854939,0.122281574964385,-0.0212406350713897,-0.118944363623008,-0.0632656322985307,0.0128872065993744,-0.160691837512799,0.0761761233180851,-0.00104701807729577,0.0423475252309993,0.000110079873410683,-0.0565564172529101,-0.0802743574019569,0.00500423705679835,0.0913389791215729,0.0146948056564572,0.0498454587711254,-0.0353305240462663,0.0097616254403071,0.0261760841337634,-0.194891077650037,-0.0420707312375535,0.14357478451742,0.0936487887788811,-0.1221303311329,-0.0883489106382422,0.176668582388994,-0.05368822299414,-0.0693543323754158,0.0858231968342668,-0.0516935899585269,0.0437025293194717,0.00113529065047408,0.0201265214892141,0.162559833311581,0.0993529520135236,-0.0618812400904394,-0.0240093684254987,0.124704040848267,0.00972562187350659,0.0513915643613947,0.112032407159875,-0.117651376936899,0.183858156483192,0.051376585827024,-0.00517109902048812,0.129431986418132,-0.0670835328911401,-0.0381654522826586,-0.0402290057001249,0.0986748647347905,-0.034628837856752,-0.249250148132284,-0.078524727169512,0.0500355487105604,-0.105305363551886,-0.161300337693634,0.0397700491269298,-0.0202501407137022,0.020905929518741,0.0623687415722528,0.144053006927753,0.103275972751112,-0.0518741009179208,0.12465718258962,-0.0509276982841378,-0.0866558161474552,0.0401798115479782,-0.000670198673638399,-0.0763331632392119,-0.0765328815919331,0.00610214834126972,0.0251219666958874,-0.00794355498484689,-0.0958074876314025,0.0702482133171555,0.152415150297515,-0.000618412054007516,-0.0218962620858633,-0.0566450415420514,0.0073617492048354,-0.0033971888576554,0.00760782473032732,-0.153563042035035,-0.0857364911017412,0.0612340848439104,-0.0497832954963638,0.0899288018995587,-0.0862470057689962,0.00858643955772342
"Cluster 4",0.0664814527063081,0.00671868585690304,-0.0438959151733669,0.00861008916264082,0.0755709347725898,0.0179749337392801,-0.259516606766814,0.0207182478543731,0.0283695447124858,-0.0338717252425174,0.0452109750045185,-0.0736909967288406,-0.0295372171788104,0.0486185146449859,0.0125663066342174,0.00295537754936882,0.064722173087332,-0.0267547402380784,0.0329703777693581,-0.016516192392544,0.0216783249093333,0.0148263362480918,0.0122491268881556,-0.0102114312272853,0.0294150139648916,0.0469157869536212,0.0213673918513419,0.0379976586789538,-0.593180105267586,0.0163698630573472,0.0158233845529855,0.00926219206102872,0.00540947018426391,0.0250598804219479,-0.0515591634649848,0.0441953727715172,0.0294160967236384,-0.00773801668676843,-0.0500023788286062,-0.0722628905254936,0.0153772061668617,0.00571681952863671,0.0763802822562258,0.0609681489593421,-0.00846494802898826,0.0279480599186392,-0.044241669791145,0.00446291326452166,0.0283907937979955,-0.0531427012640141,0.00835286322566054,0.00238094778772943,0.0536816851149634,0.0379503367592562,0.0295659121767741,0.0244975054412946,0.00266251859336011,-0.180139212791417,-0.0207229761264957,-0.00417000852967717,0.0611318462704801,-0.0913314670804291,-0.0133104993823021,0.0144288663350312,0.0349532654449673,0.0187639299955733,-0.0193405762707653,-0.0803611898266088,-0.0436145291411059,-0.0678798955576781,-0.00912963789337016,0.026777028281614,-0.0616369300398729,-0.046704942256272,0.00478712313465202,0.0360670206486785,0.0260943878293659,-0.102839765055231,0.0232774753552907,0.130772539572287,0.0686087165388079,0.0347513496604087,0.101687033114415,0.00197163523075238,-0.0626757074846539,0.0187271551768705,0.0675522576593687,0.0049321306478292,0.0128944876210808,0.0401328750478896,0.0354457388977188,0.0443723857720969,-0.086457475683624,-0.0791180445080408,0.132061208139332,0.0730471776448853,-0.0822631983164643,-0.0383552830552739,-0.0178371532226887,-0.0271159910311564,-0.148875270584642,-0.016896869931313,0.0469874403715117,0.0568538077835703,0.106690855329319,0.0756961607290857,0.0342736319700927,-0.0668337289343977,0.0254680160128701,-0.0729302847745815,-0.0227981112641799,0.0338439374311546,0.0523694902967217,0.0933231293291363,0.0251469690057829,0.0988973361077642,0.0165507039448414,0.0284776608687102,0.0171541022316023,0.0278177760849666,-0.0546727097211815
"Cluster 5",-0.0589952550634576,-9.59935955759106e-05,0.100308796980615,0.0476242222645767,-0.132666234707572,-0.0323140229174698,-0.151475507251541,-0.216843029669965,0.0401925229333863,0.127521520042395,-0.00834235952795886,0.10617233374867,0.110064222334504,-0.00856381295919415,0.0345075633733365,0.136282488807696,-0.00856212372392664,0.0373380688927422,-0.127431579536101,0.0377986116083223,-0.0229541425764068,-0.0263604640998987,-0.130449017136982,0.0274070216480119,-0.0693725229759569,-0.0239537187521706,0.0122093936402112,-0.0558402954530395,-0.297203055664065,-0.0865526187322083,-0.0465886526428025,0.0388049687049353,-0.00797686025580967,-0.0618231472902647,0.00333466386627775,-0.0838856227394272,0.0137486214464389,0.00452734983746446,0.0435431293657437,0.0335320736795185,-0.0502779639455657,0.0705754293733244,-0.000436417963649399,-0.0485638438744972,-0.0621072362032368,0.0148724734673442,0.0751071269201312,-0.0154079104692406,-0.0713697790109701,0.0925078078041146,0.0373441912870459,0.00790942418484978,-0.0198644348849268,-0.0300705053770237,-0.0273026370122118,0.00575363889846862,-0.130550024788129,0.144629168191361,-0.00434034274558528,-0.0386768884258882,-0.0678423076233596,0.0960273674851814,0.0303650612619175,0.0627777093952482,0.036616352420713,0.036341402005168,0.0539271130143157,0.049507281192146,0.0690089684565972,0.0556186562985463,0.102980442651125,0.0377392250236145,0.0911404636454025,0.0645471607938684,-0.00597494546581492,0.0384623734066118,0.0263559174797834,0.0709340788199426,0.020904768007196,-0.103700266912754,-0.0861117543048982,0.0120521026449073,-0.0447478562329317,-0.0440260138788984,0.034995563677687,0.136135773995015,-0.0230122906338837,-0.00166499760807315,-0.0390176886744299,-0.00873722434797077,-0.0636823798199635,0.032087626697304,0.081994623012078,0.101268384022604,-0.0703698790327968,-0.0153706917885745,-0.0289428646150541,0.0583958867164492,0.0265146433207944,-0.0096480320811939,-0.283543001856067,0.080722020514627,-0.138933568182845,-0.168013378728396,0.0045507754074003,0.0160280194249532,0.0111925038972142,0.133904642726658,0.00464217816048843,0.0702594669220772,0.0774046063369693,-0.0486567008864873,-0.0171854764899112,-0.0289466659218242,0.0306262800179179,-0.0106322932651663,0.0703729144811073,-0.0284666578859357,0.154727655431391,-0.00626966792144294,0.0159677840648898
"Cluster 6",-0.038525229684221,-0.0375762565990393,0.00270292530535882,-0.00669532529758926,-0.121506701163471,-0.0489410256270807,-0.2606020646911,-0.129600783177669,-0.0533780237440686,-0.00922283334357901,0.155930917876427,0.0861633495719394,-0.0518919116074683,-0.0625342434011966,0.0221302981735851,0.150194310821202,-0.0303666420392289,0.0307581919068768,0.0430776214934625,0.0624629968338811,-0.0600385066399258,0.0705215670935749,-0.0094147386860835,-0.0458974438142322,0.0718324676311397,-0.0321636678782988,-0.0524824671069652,0.0541474477054801,-0.248255949019357,0.00501998328023256,0.0697216786812544,-0.0253892647062521,-0.0172582151333995,-0.0293744169219626,0.0489723798080175,0.076513580598631,0.0148055989191596,0.261802522091289,-0.0155103470735202,0.0148369165642881,-0.0799771331557625,0.0264945210830917,-0.00430636531643975,0.0901185186099101,-0.0461283456985032,-0.0754604173580072,0.00938377108127287,-0.0857139055926582,-0.0070090849047756,-0.070627059186551,0.103002619605739,0.156375546132688,0.0197673445788268,-0.102393102974438,-0.0525218261810304,0.110469328723355,0.0471492005075164,-0.0793094189739617,0.0591898433012429,0.0547008465643273,-0.0399287702179957,0.137960815696104,-0.0614245046597951,0.0252102361734662,-0.0276735262342147,-0.147002011381939,-0.120461363168014,-0.0291204341863864,0.0982029972620572,-0.049797950956294,0.110383291237009,-0.0216901678978606,-0.0442815642005645,0.134518609147253,-0.132051338098978,-0.0812358516167734,0.0766240723384308,-0.0765463655184448,0.0961899060316484,-0.0103520120265692,-0.0356892607299195,-0.092936830901863,0.0226084761556094,0.168206955632802,0.205214743766894,-0.0676300096016721,0.180976758394151,0.146988357325331,-0.0255735596210038,0.0494690527931832,-0.061429127938778,-0.0679065243790601,-0.180707833920091,-0.106050856669056,0.0986874864071001,-0.150100098170309,0.0923905045575116,0.144516456411416,-0.0722968505711233,-0.031615261862763,0.0499360839386865,0.0944588698772947,-0.0696262400614512,-0.0931336438456534,-0.0313703445342787,0.0802945313944051,-0.0352866755435454,-0.200764025728587,-0.0464182873586927,0.0315406297090064,0.101170011692086,-0.00472388285278082,0.0484918604253791,0.00341561725902613,0.092565223920398,0.0436671432177701,0.018971080752275,0.014426562657665,-0.121876227141765,0.0952130033565851,-0.0537715137802526
"Cluster 7",-0.0426259364357556,-0.0700936670456948,0.24236581501275,0.0292076025151779,-0.138785906794704,-0.0371248895402759,-0.196470856514806,-0.12694091906615,-0.0404086325042195,0.0222180340750647,-0.0471979327482825,0.0839429421006068,0.0159362213562372,0.26584307516515,0.0655453363800617,-0.00119160883303863,-0.0919735777047755,0.0605668289789667,0.0132876126366309,0.161470906474624,-0.00777813851530064,0.0688028522334315,-0.0146520368333384,0.174249467369433,0.0446522088969799,-0.0528238338315678,-0.0897765957614109,0.052466353145115,-0.156622739108896,-0.0605870492661847,0.0387712131723089,-0.0631528350413829,-0.0744526443261103,-0.0262461703215392,0.165932389848975,0.0516146901721117,-0.0168657604725815,0.0246140663447844,-0.0572397922768117,-0.0401201932300922,-0.0752459627090636,-0.000886569819933559,0.00884596072518565,-0.0565154013576516,-0.0609216237256138,-0.115987503436048,0.0447060902568168,-0.0916771728634409,0.00532900887044449,0.0640753266682551,0.0109630297071343,0.135065174598954,-0.00872329833270414,-0.128448299212515,-0.0836089977801311,0.0637491610046152,0.0608943919415052,-0.0732252026074057,0.00299644335486004,0.00143896726387564,-0.134023270154284,0.0418700070724512,0.00687451002829696,0.0279906871554971,0.0169962215819103,-0.0853725306261472,-0.105022071429246,0.0866686371990105,0.0461473059173725,-0.111472673531308,0.0151612877032948,-0.0508158844608546,-0.0227785628371045,0.0668101475413023,-0.106159163557717,-0.105729028806806,-0.00998150640931946,-0.0667609282846446,0.0299495722992481,0.0592951225363951,0.0843101584164053,-0.0576676738624977,-0.0105454003908412,0.229011855254753,0.0614576055306495,-0.00514760642333351,0.00905989124406382,0.16439234224025,-0.0580989304675571,-0.00517116966930131,-0.108435304658033,-0.0358165419891309,0.0759466236733723,0.0318374265373258,-0.0460587981714752,-0.0909074824628454,0.0752312092293962,0.0659361418577432,-0.0964115516866227,-0.0320962728751781,0.0128561902251053,0.0602704074947478,-0.0638018358691114,-0.148550144662108,-0.00900835570547086,0.0314130527858192,-0.0768946954686331,0.0271129086428052,0.031678814613719,0.0756116162577943,0.0975407871858403,-0.0194672784135813,-0.0271085558350598,-0.0603594292634969,0.235265395675223,0.0974350078907023,-0.0631018930104664,0.0106498090090934,-0.0517432051009066,0.104102611664051,0.0544449693668139
"Cluster 8",-0.0827384336958618,-0.0131684799749094,-0.0716291133005793,-0.0544591300654223,-0.13776528998562,0.0353949865917782,0.0543761207744171,0.00601266596439356,-0.013025369562237,0.150817996519601,0.0846205400487521,-0.00100930204186927,0.0727180399304229,-0.154986431353991,-0.0313067798957486,0.184685573141262,-0.0568580230367353,-0.0267214818817506,0.0654415451190847,0.102904299397588,0.0316515121080635,0.151392487801425,-0.0407292037423437,-0.096717311793845,-0.0528504478928959,0.0360708485806815,-0.0267577424978706,-0.0321195818548777,0.126637534968989,-0.0143793870961059,-0.0231054792681655,-0.00863977076550008,-0.0269534448919321,-0.0580993020556535,-0.0223295888757135,-0.028196573881011,-0.0826531836907491,0.133637130843869,0.220598519808285,0.0156625380720724,-0.102432257382372,0.105529655013911,-0.0121320301558571,-0.13262008300416,0.0063923548271503,-0.0525348945810048,-0.0714081128537038,-0.0431206212875153,0.00457829568808439,-0.00165755173443876,0.180812622257946,0.142274535105308,-0.0630274133242483,-0.0990158782513995,-0.0490801371383334,0.0752597038622214,0.0731361709480015,0.0251821036570344,0.103980940868624,-0.0505735984619338,-0.116674425245,0.331470673262552,-0.0524824185159691,0.0983890405012535,-0.0200437139092019,0.0037967712926686,-0.0496046135665049,0.0465340926395253,-0.087153207774958,-0.0418977443517165,0.214990398268558,0.0825354971683472,0.0210201344191031,-0.0480214601909938,0.00446153437885796,-0.0011319952837684,-0.0335030316943939,-0.0596077647662581,0.0735043572692397,-0.153317860661605,-0.117477133092482,-0.049584988137261,-0.113760392364435,-0.0778342253327318,-0.0356010231358546,0.0218244053482629,0.111434731099391,-0.0269155829689094,-0.0200041026688271,-0.113957754379293,-0.0480556160115309,-0.0677678034255014,0.0181261036147387,-0.0243438397854213,-0.116356903221685,-0.025729270260544,0.129547383645905,0.282066369428633,0.134462997575245,0.100594584423876,0.0904721799353226,-0.0289641396932184,-0.132239842085658,-0.128934773936044,-0.152055388820142,-0.0378434120164229,-0.0932984212368403,-0.00390009248950994,-0.00545205637567834,0.0385877304115589,0.0182274198610229,-0.092812050726337,0.012217356791021,-0.0521821617325643,-0.0688247840972578,-0.0618366769644749,0.019273393471899,0.0877143727093952,-0.0409497392369829,0.102995046509269,0.000906545507718455
"Cluster 9",-0.165131941939192,-0.0329688589573558,0.139147182497574,0.0129911546961522,-0.160377866365708,1.68913655866111e-06,0.0733719940509927,0.00383214534955097,-0.00741660374244333,0.0394164045651473,-0.057024644776157,0.0777281439745655,0.00515905049245426,-0.000765379948466347,-0.000935230315791366,0.0201892479311056,-0.0429714130756734,0.0174046639324125,0.0272863909321881,0.11876279063052,0.0127574755138221,0.0586541769928985,-0.0590169082168584,0.106464455134732,0.0380361028115623,-0.0686750670353812,0.048424691973943,-0.00322943854829044,0.177172615960367,-0.0244441683714778,0.0358788618809848,-0.00296105868489189,-0.00860432682658873,-0.0998578158526285,0.18290059353243,-0.0854902795216597,-0.0626894608544753,-0.0179525128659712,0.0420271089593225,0.0921694265417512,-0.0567547502369239,0.0715837769430382,-0.0716191995764132,-0.109225578414002,0.037924058106049,-0.0428250250695818,-0.0252455601106125,-0.00420033819164692,-0.0503022773219982,0.0467916227041851,0.0607877657759661,0.0466431037200486,-0.0227506642967423,-0.183665801549263,-0.0591837676667696,0.0429485764732384,-0.00637105175043904,0.147688098347758,0.0234084384773094,-0.0407828911186515,-0.124305312414739,0.150309958929964,0.0353889338246876,-0.0348069498528409,0.0321808467013927,-0.0888199456876522,-0.0660551409540046,0.230339903037091,-0.0744344340178389,-0.0290195267263363,0.0632139318014889,-0.0185580449252858,0.0839659326025333,0.0647781687114031,-0.0634379042900189,-0.0829438613565754,-0.00897112674214849,0.0411777403418732,-0.0071068776206721,-0.100522599853713,-0.0730047381384468,-0.0889302163211324,-0.0193189897310115,0.0854525104931227,-0.00816091791726582,-0.0817272981307878,-0.0663191864341224,0.158212316760451,-0.071711259216823,-0.0111625770977064,-0.0448219783155508,-0.0149414664897873,0.0753546541708698,0.0953861576711696,-0.166257783917362,-0.151365107628557,0.165966563629319,0.0978017159142895,0.0174176090265787,0.0607712762179827,0.0358499204057282,0.153234760315135,-0.149970810834826,-0.123512304667009,-0.0934658330652767,-0.0278406387969648,-0.0939479985595664,0.0476970616013968,-0.000478260911794498,0.191868763066094,0.0730262628191947,-0.068232045125579,-0.0406081574578494,-0.152937491254017,0.0677685446135945,-0.0929522195866596,-0.0307137863904208,-0.0213295198702898,-0.0415468524712904,0.0430853603639847,0.129878342916003
